,ITEM_ID,ALTURA,CAPACIDADE_(L),LARGURA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
131213,14807852,25.3,1.7,18.1,Yes,460.0,10.0,100.648610479,95.49,0.0
131232,14807856,29.2,3.1,22.5,Yes,585.0,10.6,854.358117308,83.44,0.0
131617,10697196,29.2,5.7,22.5,No,585.0,10.6,827.214294313,84.875,0.0
132509,14807856,29.2,3.1,22.5,Yes,585.0,10.6,856.923688145,86.31,0.0
132839,14807856,29.2,3.1,22.5,Yes,585.0,10.6,213.149554587,109.99,0.0
133283,14807852,25.3,1.7,18.1,Yes,460.0,10.0,629.843525961,99.45,0.0
133501,14807852,25.3,1.7,18.1,Yes,460.0,10.0,143.539774093,102.37812500000001,0.0
134199,14807852,25.3,1.7,18.1,Yes,460.0,10.0,458.487157207,105.30625,0.0
135465,14807852,25.3,1.7,18.1,Yes,460.0,10.0,805.0554121580001,105.79,0.0
136143,10697196,25.3,5.7,18.1,No,460.0,10.0,460.896455791,79.345,0.0
136687,14807852,25.3,1.7,18.1,Yes,460.0,10.0,409.5162696585,52.9,0.0
136968,14807856,29.2,3.1,22.5,Yes,585.0,10.6,358.136083526,87.1069565217,0.0
137810,14807852,25.3,1.7,18.1,Yes,460.0,10.0,928.7488748060001,103.94,0.0
138041,14807856,29.2,3.1,22.5,Yes,585.0,10.6,611.713642166,83.44,1.0
138385,14807856,29.2,3.1,22.5,Yes,585.0,10.6,678.732959202,86.3548148148,0.0
138388,14807856,29.2,3.1,22.5,Yes,585.0,10.6,299.067340792,85.8218181818,0.0
139024,14807856,29.2,3.1,22.5,Yes,585.0,10.6,153.52172158,89.9,0.0
139075,14807852,25.3,1.7,18.1,Yes,460.0,10.0,641.467067652,102.015714286,0.0
139256,10697192,26.6,1.7,19.566666666666666,No,501.6666666666667,10.2,134.398086203,97.97714285733333,0.0
139431,10697192,27.9,1.7,21.033333333333335,No,543.3333333333334,10.4,580.950549258,93.93857142866668,0.0
139502,14807856,29.2,3.1,22.5,Yes,585.0,10.6,993.235521515,89.9,0.0
139511,14807852,25.3,1.7,18.1,Yes,460.0,10.0,436.449704288,103.94,0.0
139982,14807852,25.3,1.7,18.1,Yes,460.0,10.0,762.515153832,104.86500000000001,0.0
140161,14807852,25.3,1.7,18.1,Yes,460.0,10.0,138.096619766,105.79,0.0
140261,14807856,29.2,3.1,22.5,Yes,585.0,10.6,48.43673675149999,85.8218181818,0.0
140452,14807856,29.2,3.1,22.5,Yes,585.0,10.6,994.692068784,87.01100000000001,0.0
140862,14807852,25.3,1.7,18.1,Yes,460.0,10.0,202.208328256,103.94,0.0
141118,10697196,27.25,5.7,20.3,No,522.5,10.3,564.7107886690001,96.92,0.0
141249,14807856,29.2,3.1,22.5,Yes,585.0,10.6,400.523848244,89.9,0.0
141493,14807852,25.3,1.7,18.1,Yes,460.0,10.0,435.31947302,95.19666666666667,0.0
141897,14807852,25.3,1.7,18.1,Yes,460.0,10.0,691.541606745,100.49333333333334,0.0
142013,14807852,25.3,1.7,18.1,Yes,460.0,10.0,906.1066206630001,105.79,0.0
142122,10697192,25.3,1.7,18.1,No,460.0,10.0,399.705409943,104.11666666650001,0.0
142339,14807852,25.3,1.7,18.1,Yes,460.0,10.0,517.588675875,102.443333333,0.0
142694,14807852,25.3,1.7,18.1,Yes,460.0,10.0,723.7627160110001,99.45,0.0
142805,14807852,25.3,1.7,18.1,Yes,460.0,10.0,38.3520595496,88.99,1.0
143108,14807856,29.2,3.1,22.5,Yes,585.0,10.6,366.961952071,87.2736363636,0.0
143416,14807856,29.2,3.1,22.5,Yes,585.0,10.6,205.948208623,85.918125,0.0
143744,14807856,29.2,3.1,22.5,Yes,585.0,10.6,634.22573518,89.9,0.0
144255,14807856,29.2,3.1,22.5,Yes,585.0,10.6,508.511305295,85.6233333333,0.0
144635,14807852,25.3,1.7,18.1,Yes,460.0,10.0,554.468576871,102.015714286,0.0
144858,14807856,29.2,3.1,22.5,Yes,585.0,10.6,334.61198116099996,86.1576470588,0.0
144912,14807856,29.2,3.1,22.5,Yes,585.0,10.6,466.157791242,85.6233333333,0.0
145074,14807856,29.2,3.1,22.5,Yes,585.0,10.6,879.7426807,89.9,1.0
145126,14807852,25.3,1.7,18.1,Yes,460.0,10.0,869.949699607,86.67,0.0
145317,14807856,29.2,3.1,22.5,Yes,585.0,10.6,943.636700197,83.44,0.0
145939,14807856,29.2,3.1,22.5,Yes,585.0,10.6,820.2016763639999,83.44,0.0
146660,14807856,29.2,3.1,22.5,Yes,585.0,10.6,983.5970618839999,86.3548148148,0.0
146774,14807852,25.3,1.7,18.1,Yes,460.0,10.0,113.667912625,88.99,0.0
147100,14807856,29.2,3.1,22.5,Yes,585.0,10.6,851.62953354,83.44,0.0
148841,14807852,25.3,1.7,18.1,Yes,460.0,10.0,440.008542806,102.015714286,0.0
148846,14807852,25.3,1.7,18.1,Yes,460.0,10.0,989.021547896,103.94,0.0
149380,14807856,29.2,3.1,22.5,Yes,585.0,10.6,113.667912625,86.31,0.0
149540,14807856,29.2,3.1,22.5,Yes,585.0,10.6,143.054515785,83.44,0.0
149827,14807856,29.2,3.1,22.5,Yes,585.0,10.6,109.035800722,83.44,0.0
150549,14807856,29.2,3.1,22.5,Yes,585.0,10.6,353.24221326599996,89.9,0.0
150587,14807852,25.3,1.7,18.1,Yes,460.0,10.0,218.89838232099999,106.411666667,0.0
150920,14807852,25.3,1.7,18.1,Yes,460.0,10.0,886.2495568160001,88.99,1.0
152043,14807852,25.3,1.7,18.1,Yes,460.0,10.0,488.900926977,88.99,0.0
152575,10697196,27.25,5.7,20.3,No,522.5,10.3,385.444686281,86.215,0.0
152740,14807856,29.2,3.1,22.5,Yes,585.0,10.6,368.642148361,83.44,0.0
152810,14807852,25.3,1.7,18.1,Yes,460.0,10.0,272.097564852,99.45,0.0
152883,14807852,25.3,1.7,18.1,Yes,460.0,10.0,328.67942623,109.52,0.0
153297,14807856,29.2,3.1,22.5,Yes,585.0,10.6,375.29652433900003,83.44,0.0
153396,14807852,25.3,1.7,18.1,Yes,460.0,10.0,397.638080639,102.015714286,0.0
153547,14807856,29.2,3.1,22.5,Yes,585.0,10.6,461.33257853599997,83.44,1.0
154307,14807856,29.2,3.1,22.5,Yes,585.0,10.6,736.565949323,89.9,1.0
154608,14807856,29.2,3.1,22.5,Yes,585.0,10.6,700.5588588160001,103.9,0.0
154902,10697192,29.2,1.7,22.5,No,585.0,10.6,664.5517683090001,100.23333333333333,0.0
155053,10697196,29.2,5.7,22.5,No,585.0,10.6,907.561254383,96.56666666666668,0.0
156435,14807856,29.2,3.1,22.5,Yes,585.0,10.6,394.698267998,92.9,1.0
156574,14807852,25.3,1.7,18.1,Yes,460.0,10.0,542.021446273,96.58,0.0
156909,10697192,25.3,1.7,18.1,No,460.0,10.0,68.3775448286,100.26,0.0
157079,14807852,25.3,1.7,18.1,Yes,460.0,10.0,255.085595304,103.94,0.0
157294,14807852,25.3,1.7,18.1,Yes,460.0,10.0,613.884717984,102.015714286,0.0
158144,14807852,25.3,1.7,18.1,Yes,460.0,10.0,152.98309951299998,57.9,0.0
158661,14807852,25.3,1.7,18.1,Yes,460.0,10.0,191.41038908099998,99.45,1.0
159602,14807852,25.3,1.7,18.1,Yes,460.0,10.0,200.606044481,106.411666667,0.0
159629,14807856,29.2,3.1,22.5,Yes,585.0,10.6,626.67780637,94.92583333350001,0.0
159630,14807856,29.2,3.1,22.5,Yes,585.0,10.6,509.05684749,83.44,1.0
160150,14807856,29.2,3.1,22.5,Yes,585.0,10.6,7.781824609,97.064,0.0
160414,14807856,29.2,3.1,22.5,Yes,585.0,10.6,657.760928231,85.8218181818,0.0
160607,14807856,29.2,3.1,22.5,Yes,585.0,10.6,466.46153801400004,83.44,0.0
161395,14807852,25.3,1.7,18.1,Yes,460.0,10.0,925.118127255,105.30625,0.0
161522,14807856,29.2,3.1,22.5,Yes,585.0,10.6,95.4424122212,87.2736363636,0.0
162455,14807856,29.2,3.1,22.5,Yes,585.0,10.6,551.769193936,87.2736363636,0.0
162752,14807852,25.3,1.7,18.1,Yes,460.0,10.0,269.655923762,103.94,0.0
163427,14807852,25.3,1.7,18.1,Yes,460.0,10.0,223.313414172,88.99,0.0
163503,10697196,25.3,5.7,18.1,No,460.0,10.0,559.222444621,101.99,0.0
164067,14807852,25.3,1.7,18.1,Yes,460.0,10.0,861.828988945,114.99,1.0
164177,10697192,25.3,1.7,18.1,No,460.0,10.0,646.474039137,99.9265,0.0
164342,14807852,25.3,1.7,18.1,Yes,460.0,10.0,408.816585316,84.863,0.0
164451,14807852,25.3,1.7,18.1,Yes,460.0,10.0,368.29076742,99.45,1.0
165118,10697192,27.25,1.7,20.3,No,522.5,10.3,998.987025803,92.90160714285,0.0
165214,14807856,29.2,3.1,22.5,Yes,585.0,10.6,560.889436771,86.35321428569999,0.0
166105,14807852,25.3,1.7,18.1,Yes,460.0,10.0,905.1090880419999,88.99,0.0
167074,14807852,25.3,1.7,18.1,Yes,460.0,10.0,652.790255678,105.30625,0.0
167983,14807856,29.2,3.1,22.5,Yes,585.0,10.6,313.63115878900004,89.99,0.0
168262,14807856,29.2,3.1,22.5,Yes,585.0,10.6,426.94379112900003,83.44,0.0
168459,14807852,25.3,1.7,18.1,Yes,460.0,10.0,964.526418291,106.411666667,0.0
168524,14807856,29.2,3.1,22.5,Yes,585.0,10.6,627.637317554,85.0884375,0.0
169448,14807856,29.2,3.1,22.5,Yes,585.0,10.6,580.0849376159999,92.9,0.0
169502,14807856,29.2,3.1,22.5,Yes,585.0,10.6,601.228221355,83.44,0.0
170133,14807856,29.2,3.1,22.5,Yes,585.0,10.6,5.112338665769999,83.44,1.0
170356,10697196,29.2,5.7,22.5,No,585.0,10.6,52.3354624032,84.51859649123334,0.0
171132,10697196,29.2,5.7,22.5,No,585.0,10.6,704.496256672,85.59719298246667,0.0
171421,14807856,29.2,3.1,22.5,Yes,585.0,10.6,299.283125765,86.67578947370001,0.0
171432,14807856,29.2,3.1,22.5,Yes,585.0,10.6,902.1699333910001,83.44,0.0
171588,14807852,25.3,1.7,18.1,Yes,460.0,10.0,384.368364602,102.015714286,0.0
171856,14807852,25.3,1.7,18.1,Yes,460.0,10.0,723.7333724539999,105.79,0.0
172306,14807856,29.2,3.1,22.5,Yes,585.0,10.6,867.6623131189999,83.44,0.0
172441,14807852,25.3,1.7,18.1,Yes,460.0,10.0,401.911416649,106.411666667,0.0
172840,14807852,25.3,1.7,18.1,Yes,460.0,10.0,652.913505093,88.99,1.0
173643,14807856,29.2,3.1,22.5,Yes,585.0,10.6,726.419327485,83.44,0.0
175824,14807856,29.2,3.1,22.5,Yes,585.0,10.6,528.749555978,86.4916666667,0.0
175840,10697192,27.25,1.7,20.3,No,522.5,10.3,81.6819999189,117.58,0.0
176207,14807852,25.3,1.7,18.1,Yes,460.0,10.0,970.4423644,103.285,0.0
176897,14807852,25.3,1.7,18.1,Yes,460.0,10.0,512.115735361,88.99,0.0
177090,14807852,25.3,1.7,18.1,Yes,460.0,10.0,546.671931956,99.45,0.0
177174,14807852,25.3,1.7,18.1,Yes,460.0,10.0,369.117552286,102.443333333,0.0
177698,14807852,25.3,1.7,18.1,Yes,460.0,10.0,142.82544480200002,92.9416666665,0.0
177771,14807856,29.2,3.1,22.5,Yes,585.0,10.6,539.871104358,83.44,0.0
179184,14807856,29.2,3.1,22.5,Yes,585.0,10.6,247.33180935299998,83.44,0.0
179321,14807856,29.2,3.1,22.5,Yes,585.0,10.6,74.0470815697,83.44,0.0
179416,14807856,29.2,3.1,22.5,Yes,585.0,10.6,654.728093943,83.44,0.0
179630,14807856,29.2,3.1,22.5,Yes,585.0,10.6,920.9739416189999,83.44,0.0
180015,14807852,25.3,1.7,18.1,Yes,460.0,10.0,182.28753448900002,52.9,0.0
180053,14807856,29.2,3.1,22.5,Yes,585.0,10.6,223.313414172,87.1069565217,0.0
180177,14807856,29.2,3.1,22.5,Yes,585.0,10.6,305.21652759799997,87.1069565217,0.0
