,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,TEM_GRELHA,TEM_TAMPA,TIPO_WOK,ITEM_PRICE,INTERESTED
120237,260006394,84.0,PRETO,91.0,PANELA MINEIRA,91.0,SIM,NAO,0.0,NAO,169.8386666665,0.0
120239,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.323333333,0.0
120240,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120245,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,90.2,0.0
120248,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.02045454549999,0.0
120251,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,181.975,0.0
120254,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.8820359281,0.0
120256,260008998,28.0,LARANJA,37.0,FUMIL,40.0,SIM,NAO,1.0,NAO,137.73013561105,0.0
120257,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,178.57823529400002,0.0
120259,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.8326530612,0.0
120262,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120264,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,131.084545455,0.0
120266,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120268,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,127.157894737,0.0
120272,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120276,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,100.52786885200001,0.0
120279,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,104.48241758200001,0.0
120289,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,131.962068966,0.0
120293,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120298,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.7241935484,0.0
120299,223404128,36.6,CHOCOLATE,23.35,CERAFLAME,34.05,NAO,NAO,0.0,SIM,325.9,0.0
120300,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120304,257757226,36.0,VERDE,21.0,HAPPYCALL,11.5,SIM,NAO,0.0,NAO,369.99,0.0
120306,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,180.711545455,0.0
120307,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.69245283020001,0.0
120311,240761302,10.5,PRETO,20.0,MTA,37.0,NAO,NAO,1.0,NAO,87.50789308175001,0.0
120315,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,83.3233333333,0.0
120318,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,97.3025641026,0.0
120320,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.980442478,0.0
120325,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.6150684932,0.0
120326,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,229.99,0.0
120331,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.17918918900003,0.0
120340,260011430,28.0,PRETO,37.0,FUMIL,40.0,SIM,NAO,1.0,NAO,137.54470408355002,0.0
120347,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.91021897809999,0.0
120348,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.6602941176,0.0
120353,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120355,14581492,32.0,PRETO,32.0,TRAMONTINA,15.0,NAO,NAO,1.0,SIM,89.99,0.0
120356,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120361,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,92.6866666667,0.0
120362,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120364,257532112,7.9,VERMELHO,30.3,HAPPYCALL,45.8,SIM,NAO,0.0,NAO,725.0,0.0
120365,238630860,12.2,COLORIDO,34.2,TRAMONTINA,34.7,NAO,NAO,1.0,SIM,141.9,0.0
120366,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,88.8,1.0
120370,260006780,38.0,PRETO,30.0,PANELA MINEIRA,29.0,SIM,NAO,1.0,NAO,118.323333333,0.0
120373,260010672,28.0,PRETO,37.0,PANELA MINEIRA,40.0,SIM,NAO,1.0,NAO,169.99,1.0
120378,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,90.5033333333,0.0
120381,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.5621621622,0.0
120383,257530074,6.1,VERMELHO,27.8,HAPPYCALL,43.6,SIM,NAO,0.0,NAO,581.138461538,0.0
120385,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,92.6866666667,0.0
120391,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.99,0.0
120395,14581492,32.0,PRETO,32.0,TRAMONTINA,15.0,NAO,NAO,1.0,SIM,99.99,0.0
120403,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120405,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.301111111,0.0
120406,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.6236111111,0.0
120408,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,89.9,1.0
120410,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.5621621622,0.0
120412,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120414,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,109.5886,0.0
120420,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.5129032258,0.0
120423,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,180.711545455,0.0
120427,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,200.3025,0.0
120431,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.6236111111,0.0
120434,260009190,28.0,ROSA,37.0,PANELA MINEIRA,40.0,SIM,NAO,1.0,NAO,67.9,0.0
120437,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,116.0,0.0
120441,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,180.89909090900002,0.0
120446,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.5621621622,0.0
120450,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120454,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120455,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120456,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.301111111,0.0
120457,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,200.20739130400003,0.0
120459,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120469,260011356,28.0,PRETO,37.0,PANELA MINEIRA,40.0,SIM,NAO,1.0,NAO,189.89109890100002,0.0
120470,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.792197802,0.0
120479,260008998,28.0,LARANJA,37.0,FUMIL,40.0,SIM,NAO,1.0,NAO,149.99,0.0
120481,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,200.63516129,0.0
120482,260011356,28.0,PRETO,37.0,PANELA MINEIRA,40.0,SIM,NAO,1.0,NAO,148.4411917561,0.0
120484,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.2472222222,0.0
120487,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,1.0
120490,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120491,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.80178571430001,0.0
120494,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,89.99,0.0
120501,240467092,13.0,CINZA,30.0,CONSUL,7.0,NAO,NAO,1.0,NAO,47.99,0.0
120503,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,88.8,0.0
120505,238630860,12.2,COLORIDO,34.2,TRAMONTINA,34.7,NAO,NAO,1.0,SIM,129.9,0.0
120507,238630860,12.2,COLORIDO,34.2,TRAMONTINA,34.7,NAO,NAO,1.0,SIM,153.915789474,0.0
120512,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120515,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.0,0.0
120518,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,1.0
120519,257757184,36.0,VERMELHO,21.0,HAPPYCALL,11.5,SIM,NAO,0.0,NAO,369.99,0.0
120520,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120521,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,92.6866666667,0.0
120522,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.99,0.0
120524,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120528,257530074,6.1,VERMELHO,27.8,HAPPYCALL,43.6,SIM,NAO,0.0,NAO,559.9,0.0
120529,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120530,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120531,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120532,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.977538462,0.0
120535,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.4842975207,0.0
120545,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120548,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120549,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.6602941176,0.0
120551,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120552,255995584,17.0,VERMELHO,22.0,DONA CHEFA,39.0,NAO,NAO,1.0,NAO,59.99,1.0
120553,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120555,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120559,260006874,28.0,AZUL,37.0,FUMIL,40.0,SIM,NAO,1.0,NAO,147.9531632653,0.0
120561,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.91632653059999,0.0
120562,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,1.0
120563,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.93541666670001,0.0
120564,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120573,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,119.99,0.0
120575,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.0,0.0
120576,257530074,6.1,VERMELHO,27.8,HAPPYCALL,43.6,SIM,NAO,0.0,NAO,589.7375,0.0
120577,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,79.99,0.0
120584,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.9543209877,0.0
120586,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120587,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,200.63516129,0.0
120590,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120596,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,131.078723404,0.0
120603,218994340,19.0,CHOCOLATE,23.5,CERAFLAME,23.5,NAO,NAO,1.0,NAO,100.9,0.0
120604,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120607,14807808,35.7,INOX,18.1,TRAMONTINA,11.5,NAO,NAO,1.0,NAO,137.75,0.0
120611,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,135.7175,0.0
120612,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120616,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,109.5886,0.0
120618,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,94.7266666667,0.0
120623,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.39600000000002,0.0
120627,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120633,218994340,19.0,CHOCOLATE,23.5,CERAFLAME,23.5,NAO,NAO,1.0,NAO,109.9,0.0
120638,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,215.54555555599998,0.0
120642,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120643,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,100.52786885200001,0.0
120644,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.0,0.0
120647,14581492,32.0,PRETO,32.0,TRAMONTINA,15.0,NAO,NAO,1.0,SIM,79.99,0.0
120648,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.69245283020001,0.0
120649,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,180.444545455,0.0
120650,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,215.54555555599998,0.0
120654,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.59078947370001,0.0
120658,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.00639344299998,0.0
120660,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120662,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,161.9,0.0
120664,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,83.3233333333,0.0
120666,257530074,6.1,VERMELHO,27.8,HAPPYCALL,43.6,SIM,NAO,0.0,NAO,581.6,0.0
120669,260006394,84.0,PRETO,91.0,PANELA MINEIRA,91.0,SIM,NAO,0.0,NAO,338.3,0.0
120674,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,1.0
120677,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.93541666670001,0.0
120682,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.0,1.0
120688,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.5621621622,0.0
120690,14581492,32.0,PRETO,32.0,TRAMONTINA,15.0,NAO,NAO,1.0,SIM,99.99,0.0
120693,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,80.615,0.0
120696,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.8203947368,0.0
120697,238630860,12.2,COLORIDO,34.2,TRAMONTINA,34.7,NAO,NAO,1.0,SIM,136.4,0.0
120706,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.99777777780001,0.0
120710,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120714,255995660,14.0,VERMELHO,18.0,DONA CHEFA,34.0,NAO,NAO,1.0,NAO,44.99,0.0
120715,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,180.711545455,0.0
120720,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,89.99,0.0
120724,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120726,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120727,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.1225,0.0
120728,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,90.2,0.0
120734,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.9543209877,0.0
120736,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.99,0.0
120737,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,200.20739130400003,0.0
120739,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120740,241717200,18.0,PRETO,21.0,PRAVAS,6.0,NAO,NAO,1.0,NAO,34.99,0.0
120741,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,89.99,0.0
120743,238630860,12.2,COLORIDO,34.2,TRAMONTINA,34.7,NAO,NAO,1.0,SIM,142.9,1.0
120746,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.803125,0.0
120749,260011238,28.0,PRETO,37.0,PANELA MINEIRA,40.0,SIM,NAO,1.0,NAO,184.99,0.0
120752,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.80178571430001,0.0
120753,251933514,38.8,VERDE,33.0,LA CUISINE,10.5,NAO,NAO,1.0,SIM,129.99,0.0
120757,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.2472222222,0.0
120760,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,105.39166666700001,0.0
120761,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120766,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.926936937,0.0
120768,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120769,257581586,6.1,MARROM,27.8,HAPPYCALL,43.6,SIM,NAO,0.0,NAO,489.0,0.0
120771,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.792197802,0.0
120774,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120776,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.9543209877,0.0
120779,222374858,16.0,GRAFITE,16.0,LA CUISINE,8.5,NAO,NAO,1.0,NAO,105.97216049385,0.0
120780,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,119.99,0.0
120784,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,131.962068966,0.0
120785,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120786,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,180.300077519,0.0
120787,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.815294118,0.0
120791,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.02045454549999,0.0
120794,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.9543209877,0.0
120795,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.91021897809999,0.0
120796,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,125.5,0.0
120812,260008422,30.0,PRETO,51.0,PANELA MINEIRA,51.0,SIM,NAO,0.0,NAO,889.99,0.0
120816,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,97.40535714290002,0.0
120817,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,100.327118644,0.0
120819,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,108.945,0.0
120822,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,1.0
120823,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,97.3025641026,0.0
120830,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120834,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.99,0.0
120839,249775388,25.0,ROSA,13.0,OXFORD COOKWARE,29.7,NAO,NAO,0.0,NAO,259.99,0.0
120841,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,97.9604395604,0.0
120842,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
120843,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,88.8,0.0
120844,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.069047619,0.0
120847,14581492,32.0,PRETO,32.0,TRAMONTINA,15.0,NAO,NAO,1.0,SIM,133.11333333299999,0.0
120850,225903096,27.0,PRETO,27.0,JOMAFE,21.0,NAO,NAO,1.0,NAO,254.99,0.0
120857,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120858,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,1.0
120861,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,131.70580645200002,0.0
120866,254633516,30.5,GOIABA,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,203.99,0.0
120868,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
120873,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.727226277,0.0
