,ITEM_ID,ALTURA,COMPOSICAO,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
120461,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,629.357528217,39.99,0.0
120465,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,617.4298652030001,34.99,0.0
120483,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,767.920488266,32.9,0.0
120488,10697140,40.5,INOX,29.0,TRAMONTINA,20.0,NAO,0.0,38.7863386906,175.915833333,0.0
120497,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,157.358116766,159.83333333299998,0.0
120544,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,311.37870979400003,37.9966666667,0.0
120546,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,999.4374951460001,39.1328571429,0.0
120574,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,673.468209685,56.9,0.0
120582,241441024,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,372.466279659,75.9,0.0
120588,239175062,19.5,INOX,19.0,HERCULES,21.0,NAO,0.0,394.98085608900004,72.2911363636,0.0
120593,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,572.7726266569999,34.99,0.0
120594,248586190,46.5,INOX,23.5,EURO,64.0,NAO,0.0,948.9555631789999,93.3873684211,0.0
120595,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,60.6482397039,49.9,0.0
120631,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,733.584440028,31.9,0.0
120634,248586104,41.5,INOX,20.5,EURO,57.5,NAO,0.0,471.224563214,110.053846154,0.0
120672,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,487.152346679,26.99,0.0
120673,256639794,21.0,INOX,19.0,HERCULES,20.0,NAO,0.0,149.57189622200002,56.4,0.0
120679,216713422,13.1,INOX,16.7,BRINOX,16.7,NAO,0.0,612.105642414,62.650000000000006,0.0
120683,241441078,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,639.15161035,68.9,0.0
120686,248586158,46.5,INOX,23.5,EURO,64.0,NAO,0.0,125.620751879,91.61428571430001,0.0
120705,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,410.34817636599996,29.3568333333,0.0
120708,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,811.6434230560001,169.0,0.0
120718,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,635.713406202,27.3934375,0.0
120745,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,998.850536698,32.9,1.0
120782,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,408.40447612699995,64.4983333333,0.0
120793,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,636.326275438,30.9037037037,0.0
120801,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,328.80612369799996,26.99,1.0
120807,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,796.823103466,32.9,0.0
120808,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,797.53190497,34.99,0.0
120813,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,704.5940039660001,49.9,0.0
120815,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,139.081571422,65.9,0.0
120829,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,293.775713565,39.99,0.0
120849,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,349.01497511800005,34.99,1.0
120854,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,521.79093788,40.225,0.0
120860,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,205.00563802599999,31.890797545999998,0.0
120890,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,771.5279986769999,32.9,0.0
120902,241441024,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,417.99615089,80.45,0.0
120905,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,486.69460199099996,26.99,0.0
120912,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,745.153030818,31.293333333299998,0.0
120913,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,881.3625984280001,44.5,0.0
120923,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,895.793357254,43.5261971831,0.0
120933,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,480.48158381300004,30.9037037037,0.0
120934,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,688.441438585,34.99,0.0
120942,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,145.918756898,34.99,0.0
120943,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,977.954817704,26.99,0.0
120948,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,258.044965572,88.9,0.0
120955,248586190,46.5,INOX,23.5,EURO,64.0,NAO,0.0,739.922090312,80.8407142857,0.0
120963,241441078,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,30.9925339833,69.9,0.0
121008,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,459.044620075,28.1291176471,0.0
121013,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,674.484285089,88.9,0.0
121021,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,889.923950103,32.9,0.0
121038,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,906.098351491,30.9037037037,0.0
121043,248586318,46.5,INOX,23.5,EURO,65.0,NAO,0.0,650.767316887,89.99,0.0
121048,216713422,13.1,INOX,16.7,BRINOX,16.7,NAO,0.0,308.737912197,129.98125,0.0
121056,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,874.250187142,26.99,0.0
121062,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,6.04171003362,34.99,0.0
121079,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,819.77722873,168.374848485,0.0
121086,239175062,19.5,INOX,19.0,HERCULES,21.0,NAO,0.0,123.809702499,72.5767256637,0.0
121114,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,441.835105119,26.99,0.0
121116,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,175.312568217,31.9,0.0
121117,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,667.3084194090001,65.57782608699999,0.0
121156,248586158,46.5,INOX,23.5,EURO,64.0,NAO,0.0,760.48215369,86.9,0.0
121157,239175062,19.5,INOX,19.0,HERCULES,21.0,NAO,0.0,592.937617343,61.14,0.0
121163,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,211.877841815,169.0,0.0
121169,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,498.720856921,31.62953125,0.0
121172,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,483.93572302300004,91.048125,0.0
121177,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,217.66857873799998,26.99,0.0
121188,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,578.244586856,49.9,1.0
121191,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,709.973523931,39.99,0.0
121215,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,335.262397862,26.99,0.0
121216,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,182.55511831799998,26.99,0.0
121223,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,630.7797083840001,26.99,1.0
121230,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,818.675939186,199.815,0.0
121234,243496762,53.0,INOX,22.0,BRINOX,40.5,NAO,0.0,703.7770547519999,121.67059859155,0.0
121251,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,150.541606026,43.5261971831,0.0
121284,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,793.387869183,30.9037037037,0.0
121303,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,934.2842314019999,32.9,0.0
121306,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,891.130419849,38.2814285714,0.0
121316,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,102.741192335,27.873571428600002,0.0
121319,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,39.8443474293,30.9037037037,0.0
121324,241441024,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,180.86206631099998,85.0,0.0
121328,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,454.88493419599996,26.99,0.0
121336,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,969.667754438,226.56428571400002,0.0
121343,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,784.431623498,38.135,0.0
121377,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,22.3112295935,95.3283606557,0.0
121387,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,625.371061154,39.9733333333,0.0
121396,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,358.593138076,26.99,0.0
121401,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,598.171244412,42.9925,0.0
121409,255995418,8.0,ALUMINIO,16.0,DONA CHEFA,20.0,NAO,1.0,281.29353887,54.96,0.0
121423,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,52.48087639680001,28.1291176471,0.0
121441,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,491.86842452300004,29.7406976744,0.0
121448,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,67.9991115796,26.99,0.0
121455,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,170.546941608,26.99,0.0
121456,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,948.941151864,49.9,0.0
121463,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,573.9130107330001,26.99,0.0
121467,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,151.891512729,26.27,0.0
121477,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,891.6822359239999,31.890797545999998,0.0
121483,248586104,41.5,INOX,20.5,EURO,57.5,NAO,0.0,195.030952997,75.0,1.0
121490,241440620,69.5,INOX,23.5,EURO HOME,49.5,NAO,0.0,284.070932488,69.9,0.0
121499,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,321.293559103,173.517657658,0.0
121511,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,104.64133068299999,31.9,0.0
121519,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,573.2889128090001,39.99,1.0
121537,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,685.404951481,65.9,0.0
121538,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,703.154608768,39.9,1.0
121539,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,191.440106619,30.9037037037,0.0
121542,241441078,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,990.343014618,68.9,0.0
121585,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,316.622581297,65.9,0.0
121613,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,450.95928391300004,63.02,0.0
121617,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,59.942986442700004,26.99,0.0
121633,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,551.077223103,39.8792592593,0.0
121637,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,350.49201855900003,32.0280487805,0.0
121665,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,761.499764039,32.9,1.0
121681,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,756.449582634,49.9,0.0
121685,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,532.6593382330001,62.455,0.0
121686,239175062,19.5,INOX,19.0,HERCULES,21.0,NAO,0.0,913.61098445,75.01,0.0
121710,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,524.125329942,42.886855670100005,0.0
121714,241441078,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,417.042151443,68.9,0.0
121718,241440620,69.5,INOX,23.5,EURO HOME,49.5,NAO,0.0,552.776454943,71.2279069767,0.0
121723,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,493.457195057,26.99,1.0
121725,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,168.156668975,49.9,0.0
121757,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,778.7796125780001,39.99,0.0
121766,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,140.867694898,26.99,0.0
121817,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,589.62558903,64.5153846154,0.0
121823,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,239.457414059,28.3489473684,0.0
121834,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,320.582702174,39.99,1.0
121848,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,882.748831659,38.8471428571,0.0
121856,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,785.3068194130001,43.6583333333,0.0
121878,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,113.773843302,224.7464,0.0
121888,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,321.055041754,31.9,0.0
121890,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,330.570403713,31.9,0.0
121901,10697140,59.0,INOX,40.0,TRAMONTINA,18.0,NAO,0.0,97.5084159908,180.4652,0.0
121909,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,747.2392049010001,31.9,1.0
121917,223399954,25.0,INOX,28.0,MIMO STYLE,28.0,NAO,0.0,182.28753448900002,32.027,0.0
121918,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,183.232563284,32.154,0.0
121960,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,931.104882157,32.9,0.0
121970,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,236.83845188700002,179.0,1.0
121974,10697140,19.0,INOX,18.25,TRAMONTINA,20.25,NAO,0.0,340.324983625,178.9,0.0
121985,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,952.173511308,31.890797545999998,0.0
121989,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,77.3772910229,33.6613333333,0.0
121990,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,629.44403072,32.7461538462,0.0
121991,241441024,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,45.1378360634,79.9,0.0
121998,241441078,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,430.40538067,68.9,0.0
122004,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,359.137528409,30.9037037037,0.0
122010,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,688.441438585,34.6983333333,0.0
122029,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,161.130109286,63.9,0.0
122039,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,197.11474713599998,49.9,0.0
122041,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,251.362617105,30.9037037037,0.0
122056,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,297.373632475,31.9,1.0
122066,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,760.021689564,29.3568333333,0.0
122072,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,489.007145531,190.89,0.0
122081,225254280,16.0,ALUMINIO,17.0,ZANELLA,17.0,NAO,0.0,231.458985531,109.31240384614999,0.0
122083,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,150.977874848,27.7348076923,0.0
122088,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,382.28377252900003,27.7072222222,0.0
122091,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,800.067401055,56.9,1.0
122103,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,669.826555385,34.99,0.0
122106,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,431.378317179,53.9,0.0
122113,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,603.9030166590001,54.9,0.0
122128,241441024,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,641.8054984309999,85.0,0.0
122130,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,357.06628917800003,99.1369230769,0.0
122140,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,227.394009035,29.3568333333,0.0
122151,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,156.255354353,37.9625,0.0
122153,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,606.334667209,34.1570833333,0.0
122170,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,160.192948621,32.9,0.0
122178,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,151.231888186,49.9,0.0
122184,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,983.044080264,28.9761538462,0.0
122186,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,240.81381743,36.2205263158,0.0
122208,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,286.05494657,31.9,0.0
122210,241440620,69.5,INOX,23.5,EURO HOME,49.5,NAO,0.0,679.0619858069999,69.9,0.0
122218,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,192.258870298,34.99,0.0
122242,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,40.6064551875,31.9,0.0
122251,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,69.1386240873,32.9,0.0
122255,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,516.666052861,51.8448275862,0.0
122275,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,644.46393802,29.7406976744,0.0
122289,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,67.7739867922,28.3489473684,0.0
122291,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,616.296303014,31.890797545999998,0.0
122306,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,584.368511509,27.4594545455,0.0
122309,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,252.33879321900002,30.9037037037,0.0
122313,256589722,23.2,INOX,16.8,HERCULES,16.9,NAO,0.0,178.40699348,109.99,0.0
122319,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,104.475193741,43.5261971831,0.0
122324,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,230.089644623,32.9,0.0
122326,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,842.914579041,32.9,0.0
122329,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,693.259047353,28.5754385965,0.0
122350,256745782,23.0,INOX,20.0,VEC,21.0,NAO,0.0,399.85678446400004,34.5861538462,0.0
122352,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,835.1263142180001,26.99,0.0
122363,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,260.457478506,56.0,0.0
122370,256719146,23.0,INOX,20.0,VEC,21.0,NAO,1.0,406.503191488,34.99,0.0
122400,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,765.630205206,30.9037037037,0.0
122409,241441110,46.5,INOX,23.5,EURO HOME,64.0,NAO,0.0,2.21180278347,90.87,0.0
122415,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,868.6337098419999,49.9,0.0
122442,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,986.1440229030001,26.99,0.0
122459,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,452.689627521,26.99,0.0
122464,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,308.733310105,43.5261971831,0.0
122467,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,174.148306039,26.99,0.0
122475,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,310.468410473,26.99,1.0
122484,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,451.29041929,32.9,0.0
122503,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,293.37405575099996,39.9,1.0
122504,248586158,46.5,INOX,23.5,EURO,64.0,NAO,0.0,213.669931303,33.445,0.0
122507,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,717.98900997,26.99,1.0
122517,248586158,46.5,INOX,23.5,EURO,64.0,NAO,0.0,687.795379858,88.3472,0.0
122518,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,766.7275098810001,49.9,1.0
122519,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,621.272063504,32.0280487805,0.0
122522,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,822.499520807,26.9434482759,0.0
122536,248586190,46.5,INOX,23.5,EURO,64.0,NAO,0.0,794.023032137,86.9,0.0
122540,241440620,69.5,INOX,23.5,EURO HOME,49.5,NAO,0.0,491.53703711300005,56.945,0.0
122556,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,575.203444571,26.99,0.0
122570,256877514,16.0,INOX,19.0,VEC,19.5,NAO,0.0,301.908929023,49.9,0.0
122574,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,720.7474474160001,62.7,0.0
122576,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,211.067748467,69.4,1.0
122580,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,414.17534999,26.9434482759,0.0
122591,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,142.545888876,32.9,0.0
122593,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,202.50572735400002,43.5261971831,0.0
122597,241440620,69.5,INOX,23.5,EURO HOME,49.5,NAO,0.0,830.29562487,69.9,0.0
122610,241440620,69.5,INOX,23.5,EURO HOME,49.5,NAO,0.0,681.41022508,69.9,0.0
122615,10203506,20.5,INOX,22.5,SUN GUIDER,20.5,NAO,0.0,248.84119290700002,65.9,1.0
122617,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,848.1071661039999,26.99,0.0
122647,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,941.353093902,51.1732394366,0.0
122650,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,548.368123857,179.0,1.0
122670,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,902.9028164719999,179.0,0.0
122672,666178,43.0,INOX,39.0,SUN GUIDER,58.0,NAO,0.0,265.595630057,39.99,0.0
122684,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,585.289138292,32.9,0.0
122696,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,257.49375122,190.1153125,0.0
122706,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,617.7528993130001,32.9,0.0
122721,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,699.857742363,26.868787878800003,0.0
122730,243496762,53.0,INOX,22.0,BRINOX,40.5,NAO,0.0,573.175626749,145.1525,0.0
122731,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,694.813840793,32.9,0.0
122762,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,112.027103279,28.3489473684,0.0
122763,10697140,16.0,INOX,18.5,TRAMONTINA,18.5,NAO,0.0,22.323288980300003,178.9,1.0
122768,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,430.23457158199994,27.585846153800002,0.0
122780,256076118,21.0,INOX,19.3,HERCULES,19.3,NAO,0.0,521.1359260190001,53.9,0.0
122782,241440950,59.0,INOX,40.0,EURO HOME,18.0,NAO,0.0,201.287772757,31.9,0.0
122784,10214452,22.0,INOX,18.0,TRAMONTINA,22.0,NAO,0.0,284.68870955200003,165.79,0.0
122811,241441078,46.5,INOX,23.5,EURO HOME,65.0,NAO,0.0,135.429472361,68.9,1.0
122819,256719114,16.0,INOX,18.5,VEC,18.5,NAO,0.0,376.020308801,26.99,1.0
