,ITEM_ID,ALTURA,FORMATO,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
135336,259619624,33.0,1,26.0,1,48.5,0.0,261.630615008,41.27,0.0
135610,260010426,30.0,1,22.0,1,42.0,0.0,411.15603040400003,89.99,0.0
136278,259619624,33.0,1,26.0,1,48.5,0.0,941.023142871,27.99,1.0
136339,260009948,30.0,2,22.0,2,42.0,0.0,948.4383547010001,34.63,0.0
136648,259619624,33.0,1,26.0,1,48.5,0.0,418.28788126300003,41.27,0.0
137582,260010544,28.0,1,35.0,2,35.0,0.0,466.024737064,44.99,1.0
137606,260009948,30.0,2,22.0,2,42.0,0.0,862.2541843930002,118.14,0.0
137686,260009862,21.0,2,36.0,2,59.0,0.0,36.7259871894,191.29,0.0
138256,259619624,33.0,1,26.0,1,48.5,0.0,242.560377035,160.85666666666663,0.0
138366,260011676,30.0,1,22.0,2,42.0,0.0,256.708557833,130.42333333333332,0.0
139338,260010426,30.0,1,22.0,1,42.0,0.0,787.2448024619998,99.99,1.0
139374,259619624,33.0,1,26.0,1,48.5,0.0,813.06852875,41.27,0.0
140198,260011676,30.0,1,22.0,2,42.0,0.0,649.581634916,94.99,0.0
140428,259620270,26.0,2,29.0,1,45.0,1.0,653.8962029,94.99,0.0
140786,260011676,30.0,1,22.0,2,42.0,0.0,887.545873255,94.99,0.0
141582,260010426,30.0,1,22.0,1,42.0,0.0,358.01675792199995,97.49,0.0
143896,260009862,21.0,2,36.0,2,59.0,0.0,768.7509002710001,116.24,0.0
144525,260009862,21.0,2,36.0,2,59.0,0.0,532.603803586,134.99,0.0
144527,260007344,30.0,1,22.0,1,42.0,0.0,360.864721756,59.99,1.0
145023,259619624,33.0,1,26.0,1,48.5,0.0,717.6055779019998,27.99,0.0
145151,260009948,30.0,2,22.0,2,42.0,0.0,242.48344130900003,89.99,0.0
145211,260011676,30.0,1,22.0,2,42.0,0.0,803.421984707,94.99,1.0
145381,260010426,30.0,1,22.0,1,42.0,0.0,870.3465836380002,95.7042857143,0.0
145612,260007344,30.0,1,22.0,1,42.0,0.0,536.11527777,70.34714285715,0.0
145642,260010544,28.0,1,35.0,2,35.0,0.0,757.887349742,44.99,0.0
146252,259620270,26.0,2,29.0,1,45.0,1.0,912.8968144339999,129.99,0.0
146357,259619624,33.0,1,26.0,1,48.5,0.0,966.6047114710001,27.99,0.0
146574,260010460,19.0,2,32.0,2,50.0,0.0,177.08016181,114.99,0.0
146692,259620270,26.0,2,29.0,1,45.0,1.0,633.992936018,129.99,0.0
147560,260009948,30.0,2,22.0,2,42.0,0.0,70.0817385532,89.99,1.0
147624,260010544,28.0,1,35.0,2,35.0,0.0,99.2461761335,44.99,0.0
148143,260010426,30.0,1,22.0,1,42.0,0.0,815.7474055539999,95.7042857143,0.0
148683,260007344,30.0,1,22.0,1,42.0,0.0,358.01675792199995,77.79952380953333,0.0
149973,259619624,33.0,1,26.0,1,48.5,0.0,735.382824203,59.894761904766675,0.0
149990,260010544,28.0,1,35.0,2,35.0,0.0,672.573501524,41.99,0.0
150530,259620270,26.0,2,29.0,1,45.0,1.0,478.97105877,129.99,0.0
150567,260010544,28.0,1,35.0,2,35.0,0.0,37.3196640552,94.99,0.0
150734,260007344,30.0,1,22.0,1,42.0,0.0,414.58053941099996,59.99,0.0
150739,260009948,30.0,2,22.0,2,42.0,0.0,494.13175412,52.387948717933334,0.0
150768,260010460,19.0,2,32.0,2,50.0,0.0,121.257909679,44.78589743586667,0.0
150873,259619624,33.0,1,26.0,1,48.5,0.0,541.012686938,37.183846153800005,0.0
150890,260010426,30.0,1,22.0,1,42.0,0.0,98.3348494766,99.99,0.0
151323,260009862,21.0,2,36.0,2,59.0,0.0,730.0648034989999,99.99,0.0
152121,260010426,30.0,1,22.0,1,42.0,0.0,673.013744004,99.99,1.0
152261,260010460,19.0,2,32.0,2,50.0,0.0,15.193786425799999,114.99,0.0
153796,260009862,21.0,2,36.0,2,59.0,0.0,612.5502590980001,134.99,0.0
153868,260010460,19.0,2,32.0,2,50.0,0.0,80.1534671493,114.99,0.0
154285,259619624,33.0,1,26.0,1,48.5,0.0,101.454942906,91.65666666666668,0.0
154397,259620270,26.0,2,29.0,1,45.0,1.0,711.6271361710001,68.32333333333332,0.0
155250,260010544,28.0,1,35.0,2,35.0,0.0,474.650078911,44.99,0.0
155847,260010460,19.0,2,32.0,2,50.0,0.0,7.5397572652,114.99,0.0
156390,259619624,33.0,1,26.0,1,48.5,0.0,252.088955614,27.99,0.0
156725,259619624,33.0,1,26.0,1,48.5,0.0,614.891700405,27.99,1.0
156885,260009862,21.0,2,36.0,2,59.0,0.0,72.099999228,58.99,0.0
157235,260009948,30.0,2,22.0,2,42.0,0.0,177.328083378,89.99,0.0
158680,259619624,33.0,1,26.0,1,48.5,0.0,238.16049334099998,41.27,0.0
159395,260009862,21.0,2,36.0,2,59.0,0.0,299.175723798,191.29,0.0
159507,260007344,30.0,1,22.0,1,42.0,0.0,313.46590203,54.99,0.0
159570,260010544,28.0,1,35.0,2,35.0,0.0,851.006407791,44.99,0.0
160206,260009862,21.0,2,36.0,2,59.0,0.0,338.971558478,134.99,0.0
160701,259619624,33.0,1,26.0,1,48.5,0.0,631.2654849370001,27.99,0.0
160724,260009948,30.0,2,22.0,2,42.0,0.0,923.5594113960001,58.99,0.0
160792,260009948,30.0,2,22.0,2,42.0,0.0,437.93919756,89.99,0.0
162433,260009948,30.0,2,22.0,2,42.0,0.0,419.211140659,97.99,0.0
162635,260010460,19.0,2,32.0,2,50.0,0.0,462.16225308599996,105.99,0.0
163759,260010460,19.0,2,32.0,2,50.0,0.0,697.0593304360001,113.99,0.0
164927,260009948,30.0,2,22.0,2,42.0,0.0,773.8436217110001,121.99,0.0
164933,259620270,26.0,2,29.0,1,45.0,1.0,886.4229838489999,129.99,0.0
165239,260011676,30.0,1,22.0,2,42.0,0.0,559.30732677,94.99,0.0
165275,259619624,33.0,1,26.0,1,48.5,0.0,455.670277499,27.99,0.0
165662,260009948,30.0,2,22.0,2,42.0,0.0,698.6973559039999,89.99,1.0
166382,260010460,19.0,2,32.0,2,50.0,0.0,546.784851979,112.49,0.0
167190,260009862,21.0,2,36.0,2,59.0,0.0,142.316940882,134.99,0.0
167339,260010460,19.0,2,32.0,2,50.0,0.0,13.5281363465,124.99,0.0
167346,260010460,19.0,2,32.0,2,50.0,0.0,431.915509724,114.99,1.0
169652,260010460,19.0,2,32.0,2,50.0,0.0,891.26005836,114.99,0.0
169694,259619624,33.0,1,26.0,1,48.5,0.0,436.239446985,41.27,1.0
169854,260009862,21.0,2,36.0,2,59.0,0.0,70.0817385532,68.13,0.0
170209,260011676,30.0,1,22.0,2,42.0,0.0,72.099999228,94.99,0.0
170520,259620270,26.0,2,29.0,1,45.0,1.0,609.850217027,78.32333333333331,0.0
171563,260010460,19.0,2,32.0,2,50.0,0.0,525.115485759,61.65666666666666,0.0
171717,260010544,28.0,1,35.0,2,35.0,0.0,351.38019865,44.99,0.0
172302,260010544,28.0,1,35.0,2,35.0,0.0,922.4491756680001,44.99,0.0
174897,259620270,26.0,2,29.0,1,45.0,1.0,424.890312239,44.99,0.0
175546,260010544,28.0,1,35.0,2,35.0,0.0,423.858704249,44.99,0.0
176696,260007344,30.0,1,22.0,1,42.0,0.0,478.97105877,68.32333333333334,0.0
177323,260009948,30.0,2,22.0,2,42.0,0.0,373.04507303099996,91.65666666666668,0.0
177601,260010460,19.0,2,32.0,2,50.0,0.0,730.0648034989999,114.99,0.0
179095,260009862,21.0,2,36.0,2,59.0,0.0,477.212882542,191.29,0.0
179178,259620270,26.0,2,29.0,1,45.0,1.0,333.827628844,165.85666666666663,0.0
179946,260011676,30.0,1,22.0,2,42.0,0.0,39.317998296,140.42333333333332,0.0
179967,260010460,19.0,2,32.0,2,50.0,0.0,906.50254338,114.99,0.0
179968,259620270,26.0,2,29.0,1,45.0,1.0,538.348542313,129.99,0.0
180170,259619624,33.0,1,26.0,1,48.5,0.0,163.681074117,41.27,1.0
