,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
143184,261901012,28.0,1,37.0,1,40.0,0.0,437.41062239800004,69.99,0.0
144330,260010074,28.0,1,37.0,1,40.0,1.0,532.012249369,94.99,0.0
144555,260006940,28.0,2,37.0,1,40.0,0.0,459.04102676400004,47.99,0.0
144563,261893906,27.0,1,31.0,1,26.5,0.0,715.370275217,54.99,0.0
144897,261893906,27.0,1,31.0,1,26.5,0.0,731.650995198,54.99,0.0
144919,261893906,27.0,1,31.0,1,26.5,0.0,556.7153287880001,54.99,0.0
144921,261893906,27.0,1,31.0,1,26.5,0.0,997.139478974,76.01,0.0
145923,261893906,27.0,1,31.0,1,26.5,0.0,195.935641248,54.99,0.0
145990,261900938,28.0,1,37.0,1,40.0,0.0,409.92413141800006,69.99,0.0
146082,261894032,28.0,1,37.0,1,40.0,0.0,553.9163854369999,84.99,0.0
146139,261894032,28.0,1,37.0,1,40.0,0.0,720.8554515410001,84.99,0.0
146323,260009264,28.0,3,37.0,1,40.0,0.0,803.4282743189999,51.49,0.0
146358,260010074,28.0,1,37.0,1,40.0,1.0,888.6207679439999,94.99,0.0
146751,261893906,27.0,1,31.0,1,26.5,0.0,114.74168095899999,54.99,0.0
147090,261901012,28.0,1,37.0,1,40.0,0.0,378.382729765,79.6371428571,0.0
147221,261893906,27.0,1,31.0,1,26.5,0.0,468.19303887,54.99,0.0
147571,260009264,28.0,3,37.0,1,40.0,0.0,536.11527777,45.59,0.0
147666,260006940,28.0,2,37.0,1,40.0,0.0,664.332367647,47.99,0.0
147684,224111310,15.0,1,40.0,2,40.0,0.0,442.740320194,51.49,0.0
147927,261893906,27.0,1,31.0,1,26.5,0.0,735.382824203,54.99,0.0
148000,261900938,28.0,1,37.0,1,40.0,0.0,947.5286208760001,54.99,0.0
148336,261893906,27.0,1,31.0,1,26.5,0.0,888.6207679439999,54.99,1.0
149155,261894032,28.0,1,37.0,1,40.0,0.0,224.027428008,84.99,0.0
149269,261894032,28.0,1,37.0,1,40.0,0.0,813.586525198,84.99,0.0
149427,261901012,28.0,1,37.0,1,40.0,0.0,21.8990523799,79.6371428571,0.0
149552,261893906,27.0,1,31.0,1,26.5,0.0,370.97321627300005,62.4518181818,0.0
150267,261900938,28.0,1,37.0,1,40.0,0.0,550.173176852,96.27,0.0
150350,261894032,28.0,1,37.0,1,40.0,0.0,156.693752924,95.63,0.0
150571,260010074,28.0,1,37.0,1,40.0,1.0,674.388663425,94.99,0.0
150636,261893906,27.0,1,31.0,1,26.5,0.0,466.59995355,54.99,0.0
150839,260009264,28.0,3,37.0,1,40.0,0.0,787.108044843,47.753636363599995,0.0
151026,261894032,28.0,1,37.0,1,40.0,0.0,937.449986307,84.99,0.0
151028,261893906,27.0,1,31.0,1,26.5,0.0,381.504917005,54.99,1.0
151402,261893906,27.0,1,31.0,1,26.5,0.0,437.111020298,54.99,0.0
152697,261893906,27.0,1,31.0,1,26.5,0.0,331.369242477,61.19600000000001,0.0
153093,261893906,27.0,1,31.0,1,26.5,0.0,68.37320501720001,54.99,0.0
153414,261893906,27.0,1,31.0,1,26.5,0.0,891.141126272,54.99,0.0
153445,261894032,28.0,1,37.0,1,40.0,0.0,913.629140399,84.99,0.0
153450,260009264,28.0,3,37.0,1,40.0,0.0,570.235937412,47.99,0.0
153651,261893906,27.0,1,31.0,1,26.5,0.0,722.146075696,76.01,0.0
153810,261894032,28.0,1,37.0,1,40.0,0.0,924.276052255,84.99,0.0
153821,261901012,28.0,1,37.0,1,40.0,0.0,771.860396832,76.4214285714,0.0
154828,261893906,27.0,1,31.0,1,26.5,0.0,907.059943634,54.99,0.0
154846,261894032,28.0,1,37.0,1,40.0,0.0,722.146075696,84.99,0.0
155000,261894032,28.0,1,37.0,1,40.0,0.0,630.3990601840001,84.99,0.0
155144,261893906,27.0,1,31.0,1,26.5,0.0,240.05572437,54.99,0.0
155204,261894032,28.0,1,37.0,1,40.0,0.0,160.904585284,84.99,0.0
156328,261893906,27.0,1,31.0,1,26.5,0.0,259.478524451,54.99,0.0
156682,260009264,28.0,3,37.0,1,40.0,0.0,875.644595491,47.99,1.0
156794,261893906,27.0,1,31.0,1,26.5,0.0,739.145137978,71.49,0.0
157251,260010074,28.0,1,37.0,1,40.0,1.0,842.7936492539999,94.99,0.0
157775,261893906,27.0,1,31.0,1,26.5,0.0,919.4599009364999,54.99,0.0
158331,261894032,28.0,1,37.0,1,40.0,0.0,996.126152619,84.99,0.0
159187,261894032,28.0,1,37.0,1,40.0,0.0,878.5648351289999,84.99,0.0
159770,261894032,28.0,1,37.0,1,40.0,0.0,427.24074838900003,84.99,1.0
160021,260006940,28.0,2,37.0,1,40.0,0.0,905.089938628,47.99,0.0
160054,261893906,27.0,1,31.0,1,26.5,0.0,409.92413141800006,54.99,0.0
160361,261893906,27.0,1,31.0,1,26.5,0.0,910.1965080560001,54.99,0.0
160576,261901012,28.0,1,37.0,1,40.0,0.0,371.13333111400004,62.49,0.0
160849,261901012,28.0,1,37.0,1,40.0,0.0,860.9313927960001,69.99,0.0
161800,261893906,27.0,1,31.0,1,26.5,0.0,731.650995198,61.19600000000001,0.0
162144,261900938,28.0,1,37.0,1,40.0,0.0,896.786216285,58.093,0.0
162516,261893906,27.0,1,31.0,1,26.5,0.0,933.9137689889999,54.99,1.0
163139,261893906,27.0,1,31.0,1,26.5,0.0,142.142170714,54.99,0.0
164371,261893906,27.0,1,31.0,1,26.5,0.0,725.7226327410001,54.99,0.0
164650,260009264,28.0,3,37.0,1,40.0,0.0,734.6478053789999,54.99,0.0
165042,260006822,28.0,4,37.0,1,40.0,0.0,852.998380917,54.99,1.0
165229,261894032,28.0,1,37.0,1,40.0,0.0,722.8956933889999,84.99,0.0
165298,260006940,28.0,2,37.0,1,40.0,0.0,892.5312029789999,47.99,1.0
165408,261893906,27.0,1,31.0,1,26.5,0.0,974.2469109839999,54.99,0.0
165575,261893906,27.0,1,31.0,1,26.5,0.0,948.496134657,54.99,0.0
166067,261893906,27.0,1,31.0,1,26.5,0.0,14.9413176271,54.99,0.0
166282,261893906,27.0,1,31.0,1,26.5,0.0,940.86003335,54.99,0.0
166619,261893906,27.0,1,31.0,1,26.5,0.0,276.700699827,54.99,0.0
166923,260006940,28.0,2,37.0,1,40.0,0.0,331.168137136,47.99,0.0
167713,261894032,28.0,1,37.0,1,40.0,0.0,690.422799023,84.99,0.0
168214,261894032,28.0,1,37.0,1,40.0,0.0,209.32644296200002,84.99,0.0
168398,261893906,27.0,1,31.0,1,26.5,0.0,361.522825845,54.99,0.0
168565,260006822,28.0,4,37.0,1,40.0,0.0,88.5022121105,47.99,1.0
168707,261893906,27.0,1,31.0,1,26.5,0.0,175.153267543,54.99,0.0
169445,261900938,28.0,1,37.0,1,40.0,0.0,924.276052255,69.99,0.0
169623,261894032,28.0,1,37.0,1,40.0,0.0,43.2881019046,84.99,0.0
170463,260006822,28.0,4,37.0,1,40.0,0.0,603.133875354,52.5194117647,0.0
170557,261901012,28.0,1,37.0,1,40.0,0.0,865.663017438,69.99,1.0
170660,261893906,27.0,1,31.0,1,26.5,0.0,151.02032783200002,62.7475,0.0
170847,261893906,27.0,1,31.0,1,26.5,0.0,677.509689557,55.36875000000001,0.0
171494,260009264,28.0,3,37.0,1,40.0,0.0,1000.3812787,47.99,0.0
171964,261893906,27.0,1,31.0,1,26.5,0.0,242.80299004900002,54.99,0.0
172013,261900938,28.0,1,37.0,1,40.0,0.0,85.8821731967,62.49,0.0
173722,261901012,28.0,1,37.0,1,40.0,0.0,485.515116235,69.99,0.0
173853,261900938,28.0,1,37.0,1,40.0,0.0,942.486173465,69.99,0.0
174142,261901012,28.0,1,37.0,1,40.0,0.0,46.8158058275,69.99,0.0
174875,261893906,27.0,1,31.0,1,26.5,0.0,56.730763862299995,54.99,0.0
175255,261901012,28.0,1,37.0,1,40.0,0.0,973.5106413210001,69.99,0.0
175576,261900938,28.0,1,37.0,1,40.0,0.0,13.595245762200001,77.49,0.0
175589,261894032,28.0,1,37.0,1,40.0,0.0,27.9896381696,84.99,1.0
176667,261893906,27.0,1,31.0,1,26.5,0.0,373.57416804900004,54.99,0.0
177059,261894032,28.0,1,37.0,1,40.0,0.0,23.7156618989,84.99,0.0
177499,261893906,27.0,1,31.0,1,26.5,0.0,651.190671806,54.99,0.0
177518,260010074,28.0,1,37.0,1,40.0,1.0,827.384427198,94.99,0.0
177629,261901012,28.0,1,37.0,1,40.0,0.0,457.788970715,69.99,0.0
177750,261894032,28.0,1,37.0,1,40.0,0.0,474.82650419099997,84.99,0.0
177800,260006822,28.0,4,37.0,1,40.0,0.0,797.8819575189999,54.99,0.0
178458,260010074,28.0,1,37.0,1,40.0,1.0,576.790981001,94.99,0.0
178697,261894032,28.0,1,37.0,1,40.0,0.0,715.370275217,84.99,1.0
179146,261893906,27.0,1,31.0,1,26.5,0.0,702.3243823280002,82.31357142854999,0.0
179227,261901012,28.0,1,37.0,1,40.0,0.0,643.802286111,79.6371428571,0.0
179606,261893906,27.0,1,31.0,1,26.5,0.0,666.558101379,54.99,0.0
180132,261893906,27.0,1,31.0,1,26.5,0.0,480.808642505,54.99,0.0
