,ITEM_ID,ALTURA,COMPOSICAO,LARGURA,MARCA,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
25615,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,348.986463763,106.65,0.0
26037,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,365.38259484300005,108.9,0.0
26125,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,611.175596173,172.255,0.0
26909,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,407.5517031245,235.61,0.0
26970,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,203.927810076,298.96500000000003,0.0
27046,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,259.27084176700004,362.32,0.0
27304,258468828,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,907.527335174,316.11,0.0
27677,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,80.10642137949999,269.9,0.0
27895,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,465.341440448,94.12,0.0
28099,258468946,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,739.739902642,284.12818181800003,0.0
28177,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,780.098280587,474.136363636,0.0
28336,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,516.1044717369999,108.9,0.0
28495,258468828,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,96.6190572563,77.7333333333,0.0
29118,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,562.607698972,220.02666666665,0.0
29157,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,907.771466538,362.32,0.0
29201,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,972.736591569,268.593333333,0.0
29793,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,568.2941796609999,184.2466666665,0.0
29824,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,202.560321004,99.9,1.0
30578,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,694.2054144269999,474.136363636,0.0
30893,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,950.807126507,252.48,0.0
31096,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,612.106456155,362.32,0.0
31323,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,234.914874335,315.4566666665,0.0
31324,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,10.8946569002,268.593333333,0.0
31410,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,547.518719087,108.9,0.0
31513,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,454.57284467,106.275,0.0
31687,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,143.542442792,103.65,0.0
31995,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,750.279179933,101.025,0.0
32025,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,665.921483888,474.136363636,0.0
32276,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,86.41885125110001,252.48,0.0
32378,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,760.0921677189999,257.85111111099997,0.0
32423,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,914.9859870610001,263.22222222199997,0.0
32844,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,573.830267599,268.593333333,0.0
32904,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,904.632691003,315.4566666665,0.0
33083,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,114.77710656200001,362.32,0.0
34262,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,79.8831358832,307.4,0.0
35120,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,435.92457968400004,252.48,0.0
35603,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,563.579753404,268.593333333,0.0
35845,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,82.80571256180001,84.97,0.0
35973,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,329.737788798,110.8,0.0
36034,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,373.650866776,267.5675,0.0
36119,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,114.593002631,268.593333333,0.0
36269,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,983.903475807,217.69555555533333,0.0
36396,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,950.807126507,166.79777777766668,0.0
36582,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,872.5149187330001,115.9,0.0
36699,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,332.887653258,266.79,0.0
36942,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,683.999520554,109.268421053,0.0
36950,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,2.17661817663,106.14561403533334,0.0
37319,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,268.911766311,103.02280701766666,0.0
37527,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,83.9224962806,99.9,0.0
37884,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,433.71453526,362.32,0.0
38060,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,563.951244909,266.79,0.0
38215,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,580.696276196,183.90750000000003,0.0
39252,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,143.631744798,101.025,0.0
39346,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,306.225656476,108.9,0.0
39430,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,446.476121602,102.669230769,0.0
39465,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,985.239454737,184.7296153845,0.0
39515,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,517.1953359309999,266.79,0.0
39647,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,446.825535659,211.16000000000003,0.0
39981,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,787.2039374789999,155.53000000000003,0.0
40248,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,260.93924779,99.9,0.0
40764,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,928.3956656360001,94.92333333333333,0.0
40778,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,726.849993359,89.94666666666667,0.0
40831,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,192.12254361799998,84.97,0.0
41181,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,823.600695576,101.9,0.0
41232,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,790.616574629,474.136363636,0.0
41270,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,653.276576998,97.5,0.0
41934,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,984.423634643,108.9,0.0
42382,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,124.149509569,108.9,0.0
42521,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,446.904625965,108.9,0.0
42708,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,532.88478179,161.53,0.0
42718,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,869.867142453,214.16000000000003,0.0
42755,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,340.558109335,266.79,0.0
42940,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,718.1695620060001,266.79,0.0
43077,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,225.33161384099998,187.84500000000003,0.0
43087,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,871.7135456780001,108.9,0.0
43142,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,361.532082755,99.9,1.0
43390,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,652.590995389,108.9,1.0
43938,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,666.497157017,266.79,0.0
44289,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,752.966953876,187.84500000000003,0.0
44418,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,101.27164535899999,108.9,0.0
44697,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,593.331742094,129.9,0.0
44902,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,979.8912698510001,350.4675,0.0
44962,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,954.362491582,129.9,1.0
45370,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,856.3708407515,109.268421053,0.0
45520,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,758.379189921,108.9,0.0
45530,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,169.446713083,108.9,0.0
45784,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,61.311271671499995,108.9,0.0
46119,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,859.7106677160001,82.9,0.0
46486,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,434.266868718,56.9,0.0
46504,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,217.435821232,473.34333333300003,0.0
46629,258468946,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,474.804958349,473.73984848450004,0.0
46706,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,559.22877988,474.136363636,0.0
46920,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,305.783264319,408.55199999999996,0.0
47065,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,553.293858608,315.668,0.0
47154,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,672.940540349,222.78400000000002,0.0
47263,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,341.756126566,129.9,0.0
47361,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,120.269815619,302.018181818,0.0
47365,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,369.180141144,474.136363636,0.0
47421,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,716.304212656,324.99,0.0
47752,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,834.242129279,296.79166666649996,0.0
48155,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,278.485420503,268.593333333,0.0
48258,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,986.2796631169999,108.9,0.0
48342,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,476.100472277,291.518181818,0.0
48443,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,864.575793633,474.136363636,0.0
48474,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,624.9308332969999,268.593333333,0.0
49031,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,281.93415526900003,362.32,0.0
49345,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,659.926147167,108.9,0.0
49458,240741908,13.0,ALUMINIO,37.5,MTA,64.5,1.0,321.299151102,129.9,0.0
49645,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,752.3462675060001,108.9,0.0
49898,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,329.838704994,266.79,0.0
50490,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,581.329880339,422.9,0.0
50498,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,411.80652085199995,345.7466666665,0.0
50531,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,678.460749776,268.593333333,0.0
50695,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,25.426501330500002,108.9,0.0
50781,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,30.343369025599998,108.9,0.0
50802,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,609.459103296,108.9,0.0
50878,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,325.992654641,108.9,0.0
51064,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,354.21994648099997,108.9,0.0
51147,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,104.31319525,108.9,0.0
51336,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,410.75011921199996,268.593333333,0.0
51420,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,897.337955928,474.136363636,0.0
51498,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,913.8051190639999,56.9,0.0
51769,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,878.111833944,324.99,0.0
51823,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,697.7984841639999,235.62666666666667,0.0
52049,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,954.362491582,146.26333333333332,0.0
52602,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,220.57439468200002,56.9,0.0
52808,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,284.96796468,422.9,0.0
52968,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,294.805264678,266.0842105265,0.0
53036,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,6.325052240440001,109.268421053,0.0
53047,241717562,10.0,ACO ESMALTADO,42.0,PRAVAS,43.0,0.0,578.525929967,59.99,1.0
53110,13863724,10.0,ALUMINIO,61.0,TRAMONTINA,72.0,0.0,915.209394817,474.136363636,0.0
53152,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,392.51248813,108.9,0.0
53223,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,496.727171376,108.9,0.0
53350,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,397.150399804,102.471428571,0.0
53435,13863720,10.0,ALUMINIO,46.0,TRAMONTINA,56.0,0.0,121.636277562,252.48,0.0
53519,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,43.753190286300004,177.19,0.0
53562,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,526.960751963,101.9,0.0
53813,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,785.229713344,105.4,0.0
54284,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,326.45373705,108.9,0.0
54320,257249402,6.0,ALUMINIO,34.0,BRINOX,43.0,0.0,198.00155330799998,69.9,0.0
54329,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,326.304278478,108.9,0.0
54535,11898110,6.0,ALUMINIO,31.0,TRAMONTINA,37.0,0.0,988.645103176,56.9,0.0
54751,240741942,13.0,ALUMINIO,37.5,MTA,47.5,1.0,692.23976738,108.9,0.0
