,ITEM_ID,ALTURA,COMPOSICAO,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
11769,14807848,36.0,INOX,INOX,18.1,TRAMONTINA,13.0,NAO,1.0,628.85175203,150.9,0.0
11797,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,818.4944832130001,305.9,0.0
11908,690680,33.0,ALUMINIO,BRANCO,21.7,TRAMONTINA,23.0,NAO,1.0,456.253988305,222.945,0.0
12251,260008314,30.0,ALUMINIO,PRETO,51.0,PANELA MINEIRA,51.0,SIM,1.0,164.395074254,139.99,0.0
12276,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,736.599822647,37.9,0.0
12296,258445948,18.0,ALUMINIO,TURQUESA,25.5,BRINOX,36.3,NAO,1.0,382.62027800199996,134.99,0.0
12337,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,716.9500397869999,332.445,0.0
12352,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,402.963145496,41.840339506199996,0.0
12401,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,528.908005646,39.99,0.0
12424,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,698.364559978,305.9,0.0
12438,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,813.70024328,39.571999999999996,0.0
12552,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,585.586602657,78.781,0.0
12600,258444860,18.0,ALUMINIO,TURQUESA,23.5,BRINOX,34.5,NAO,1.0,60.760014268999996,117.99,0.0
12657,258445948,18.0,ALUMINIO,TURQUESA,25.5,BRINOX,36.3,NAO,1.0,570.4475581419999,109.99,0.0
12664,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,457.35511009699997,44.99,0.0
12674,258445948,18.0,ALUMINIO,TURQUESA,25.5,BRINOX,36.3,NAO,1.0,675.107973671,109.99,0.0
12683,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,729.698856764,39.99,1.0
12708,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,140.512856276,41.8827272727,0.0
12855,14807848,36.0,INOX,INOX,18.1,TRAMONTINA,13.0,NAO,1.0,111.372194764,154.9,0.0
12861,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,345.941222091,305.9,0.0
12870,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,604.349258556,39.3746153846,0.0
12944,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,850.3509353430001,39.18715617715,0.0
12984,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,7.378067494530001,38.9996969697,0.0
12987,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,197.208089777,39.99,1.0
13131,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,553.730426351,39.571999999999996,0.0
13273,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,499.70860427900004,39.9531578947,0.0
13503,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,289.866903713,37.9,1.0
13534,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,899.8931957189999,39.99,0.0
13573,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,768.911048579,305.9,0.0
13851,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,145.851481006,39.615,0.0
13877,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,72.7204203397,305.9,0.0
13909,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,601.585224819,43.2175,0.0
13930,260008314,30.0,ALUMINIO,PRETO,51.0,PANELA MINEIRA,51.0,SIM,1.0,148.12069600799998,139.99,0.0
14025,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,42.6916049967,39.99,0.0
14027,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,929.8982938510001,39.99,1.0
14029,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,408.497698267,479.59,0.0
14072,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,792.8383360910001,305.9,0.0
14078,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,976.617477863,39.4675,0.0
14233,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,884.01136182,44.99,0.0
14317,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,739.5929629039999,39.9531578947,0.0
14475,14807848,36.0,INOX,INOX,18.1,TRAMONTINA,13.0,NAO,1.0,963.8444254230001,150.9,0.0
14481,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,701.1302038860001,305.99214285700003,0.0
14502,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,468.403381281,39.99,0.0
14541,258444752,16.0,ALUMINIO,PRATA,21.5,BRINOX,32.5,NAO,1.0,736.94034235,87.99,0.0
14771,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,279.82478831599997,39.99,1.0
14814,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,470.005870831,39.99,0.0
14830,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,177.00687206400002,39.4675,0.0
14840,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,994.0696475330001,38.945,0.0
14859,260008314,30.0,ALUMINIO,PRETO,51.0,PANELA MINEIRA,51.0,SIM,1.0,500.088802091,139.99,0.0
14992,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,562.8672279809999,39.99,0.0
15046,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,841.878427147,38.736,0.0
15111,14807840,28.2,INOX,INOX,22.5,TRAMONTINA,16.2,NAO,1.0,162.001915714,39.363,0.0
15178,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,456.618241394,39.99,1.0
15299,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,399.149267825,39.8566666667,0.0
15315,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,88.4152382685,39.99,0.0
15351,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,350.176534092,40.2966666667,0.0
15426,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,385.789857029,39.99,0.0
15490,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,530.9300137619999,44.99,0.0
15504,258444860,18.0,ALUMINIO,TURQUESA,23.5,BRINOX,34.5,NAO,1.0,299.675153697,113.33,0.0
15561,258445948,18.0,ALUMINIO,TURQUESA,25.5,BRINOX,36.3,NAO,1.0,692.939583012,109.99,0.0
15641,258447356,16.0,ALUMINIO,TURQUESA,21.5,BRINOX,32.5,NAO,1.0,22.542898833699997,184.445,0.0
15659,14807844,30.5,INOX,INOX,27.0,TRAMONTINA,18.7,NAO,1.0,1000.26909486,258.9,0.0
15761,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,338.703471973,39.99,0.0
15873,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,653.97728689,305.9,0.0
15921,260008314,30.0,INOX,PRETO,51.0,PANELA MINEIRA,51.0,SIM,1.0,848.49796566,139.99,0.0
15950,258445948,18.0,ALUMINIO,TURQUESA,25.5,BRINOX,36.3,NAO,1.0,907.486517439,109.99,0.0
15963,258445104,18.0,ALUMINIO,PRATA,25.5,BRINOX,36.3,NAO,1.0,295.17046577900004,107.81,0.0
16084,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,377.79159107,479.59,0.0
16148,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,406.43000045699995,44.99,0.0
16175,14807848,36.0,INOX,INOX,18.1,TRAMONTINA,13.0,NAO,1.0,613.4247950930001,150.9,0.0
16195,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,513.845294847,39.89,0.0
16236,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,865.509026204,39.061111111100004,0.0
16302,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,517.3205824180001,305.9,0.0
16329,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,278.91314594700003,39.1696178344,0.0
16333,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,361.793133061,40.2966666667,0.0
16340,653448,31.0,INOX,INOX,31.0,TRAMONTINA,21.0,NAO,0.0,336.18268141,305.9,0.0
16434,224278714,18.5,ALUMINIO,PRETO,21.5,PANELUX,26.0,NAO,1.0,241.075845222,39.99,0.0
