,ITEM_ID,ALTURA,COR,FORMATO,LARGURA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
81490,257077622,6.7,VERMELHO,OVAL,10.4,15.2,837.6563355689999,119.99,0.0
82087,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,796.1124063369999,224.99,0.0
82186,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,335.39958872799997,224.99,0.0
82506,257073782,8.5,LARANJA,REDONDO,15.6,17.0,614.08725532,224.99,0.0
83367,257104468,7.9,VERMELHO,QUADRADO,15.0,19.6,82.89296539840001,224.99,0.0
83656,257104468,7.9,VERMELHO,QUADRADO,15.0,19.6,885.2453530360001,224.99,0.0
83796,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,348.47862457199994,224.99,0.0
83822,257077622,6.7,VERMELHO,OVAL,10.4,15.2,987.36296821,189.99,0.0
84451,257077622,6.7,VERMELHO,OVAL,10.4,15.2,430.748329941,154.99,0.0
84743,257077622,6.7,VERMELHO,OVAL,10.4,15.2,562.2918315219999,119.99,0.0
85779,257077622,6.7,VERMELHO,OVAL,10.4,15.2,828.869008505,119.99,0.0
86118,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,941.0132795760001,224.99,0.0
86786,257077622,6.7,VERMELHO,OVAL,10.4,15.2,595.680751223,119.99,0.0
87296,257104308,8.0,LARANJA,QUADRADO,15.2,19.8,265.290816908,119.99,0.0
87894,257077622,6.7,VERMELHO,OVAL,10.4,15.2,750.999358712,119.99,0.0
87989,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,309.560382279,144.99,0.0
88476,257077622,6.7,VERMELHO,OVAL,10.4,15.2,323.78069683,119.99,0.0
88565,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,238.435635978,144.99,0.0
88911,257073782,8.5,LARANJA,REDONDO,15.6,17.0,184.12758836900002,132.522727272725,0.0
89100,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,113.548402992,120.05545454545,0.0
89621,257073782,8.5,LARANJA,REDONDO,15.6,17.0,665.52306368,107.588181818175,0.0
90123,257077622,6.7,VERMELHO,OVAL,10.4,15.2,975.6361003689999,95.1209090909,0.0
90519,257104468,7.9,VERMELHO,QUADRADO,15.0,19.6,291.216190964,107.55545454545,0.0
90885,257077622,6.7,VERMELHO,OVAL,10.4,15.2,779.240035206,119.99,0.0
92962,257077622,6.7,VERMELHO,OVAL,10.4,15.2,519.9953909530001,119.99,0.0
92993,257077622,6.7,VERMELHO,OVAL,10.4,15.2,589.9335536030001,119.99,0.0
93140,257077622,6.7,VERMELHO,OVAL,10.4,15.2,654.1300433819999,119.99,0.0
93252,257073782,8.5,LARANJA,REDONDO,15.6,17.0,530.058776994,119.99,0.0
93571,257077622,6.7,VERMELHO,OVAL,10.4,15.2,513.2046573185,119.99,0.0
94180,257073782,8.5,LARANJA,REDONDO,15.6,17.0,496.35053764300005,119.99,0.0
95200,257077622,6.7,VERMELHO,OVAL,10.4,15.2,938.2621205219999,119.99,0.0
95459,257077622,6.7,VERMELHO,OVAL,10.4,15.2,796.8541474269999,119.99,0.0
95758,257077622,6.7,VERMELHO,OVAL,10.4,15.2,125.67398351700001,119.99,0.0
96294,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,550.839089481,119.99,0.0
96779,257077622,6.7,VERMELHO,OVAL,10.4,15.2,293.190886644,119.99,0.0
97682,257077622,6.7,VERMELHO,OVAL,10.4,15.2,20.7448223238,119.99,0.0
97768,257077622,6.7,VERMELHO,OVAL,10.4,15.2,971.6323475239999,119.99,0.0
98734,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,968.5945641039999,119.99,0.0
101122,257077622,6.7,VERMELHO,OVAL,10.4,15.2,169.522968042,119.99,0.0
102539,257073782,8.5,LARANJA,REDONDO,15.6,17.0,481.11115339599996,224.99,0.0
103563,257077622,6.7,VERMELHO,OVAL,10.4,15.2,352.48644431900004,119.99,0.0
104023,257077622,6.7,VERMELHO,OVAL,10.4,15.2,441.631739883,119.99,0.0
104713,257077622,6.7,VERMELHO,OVAL,10.4,15.2,537.022405456,119.99,0.0
104834,257077622,6.7,VERMELHO,OVAL,10.4,15.2,235.937150756,119.99,0.0
104937,257073782,8.5,LARANJA,REDONDO,15.6,17.0,750.999358712,119.99,0.0
105167,257077622,6.7,VERMELHO,OVAL,10.4,15.2,712.166150463,119.99,0.0
105649,257077622,6.7,VERMELHO,OVAL,10.4,15.2,921.97659368,119.99,0.0
105702,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,309.849253964,119.99,0.0
106110,257077622,6.7,VERMELHO,OVAL,10.4,15.2,309.560382279,119.99,0.0
106781,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,596.262884712,119.99,0.0
107010,257077622,6.7,VERMELHO,OVAL,10.4,15.2,184.20849923400002,119.99,0.0
107294,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,122.521440069,154.99,0.0
107609,257073782,8.5,LARANJA,REDONDO,15.6,17.0,357.465467275,189.99,0.0
107656,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,896.087839883,224.99,0.0
108061,257077622,6.7,VERMELHO,OVAL,10.4,15.2,509.19022869099996,119.99,0.0
109610,257077622,6.7,VERMELHO,OVAL,10.4,15.2,140.959044429,119.99,0.0
109688,257077622,6.7,VERMELHO,OVAL,10.4,15.2,784.798127865,119.99,0.0
110797,257077622,6.7,VERMELHO,OVAL,10.4,15.2,45.434797419300004,119.99,0.0
111617,257073782,8.5,LARANJA,REDONDO,15.6,17.0,111.62274910200001,224.99,0.0
112472,257077622,6.7,VERMELHO,OVAL,10.4,15.2,569.567717373,119.99,0.0
113011,257077622,6.7,VERMELHO,OVAL,10.4,15.2,630.098196352,119.99,0.0
113171,256332682,10.0,VERMELHO,REDONDO,4.5,10.1,530.058776994,119.99,0.0
113748,257077622,6.7,VERMELHO,OVAL,10.4,15.2,796.0263903389999,119.99,0.0
114369,257073782,8.5,LARANJA,REDONDO,15.6,17.0,526.183600046,119.99,0.0
114510,257077622,6.7,VERMELHO,OVAL,10.4,15.2,825.5729231839999,119.99,1.0
114700,257077622,6.7,VERMELHO,OVAL,10.4,15.2,627.207021081,119.99,0.0
115297,257073782,8.5,LARANJA,REDONDO,15.6,17.0,898.67099934,224.99,0.0
115620,257077622,6.7,VERMELHO,OVAL,10.4,15.2,525.7212931180001,119.99,0.0
116846,257077622,6.7,VERMELHO,OVAL,10.4,15.2,143.720066411,119.99,0.0
117616,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,657.002008199,119.99,0.0
117831,256329340,10.0,LARANJA,REDONDO,4.5,10.1,975.6361003689999,119.99,0.0
118895,257077622,6.7,VERMELHO,OVAL,10.4,15.2,441.624930398,119.99,0.0
119167,257104148,8.3,VERMELHO,REDONDO,15.6,17.0,291.216190964,119.99,0.0
119176,257073782,8.5,LARANJA,REDONDO,15.6,17.0,241.149393571,119.99,0.0
119279,257077622,6.7,VERMELHO,OVAL,10.4,15.2,153.31936818100002,119.99,0.0
120123,257073782,8.5,LARANJA,REDONDO,15.6,17.0,922.5477403780001,119.99,0.0
120145,257077622,6.7,VERMELHO,OVAL,10.4,15.2,730.5956344560001,119.99,0.0
