,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PARA_LAVA_LOUCAS,PESO,PROFUNDIDADE,TEM_TAMPA,SESSION_ID,ITEM_PRICE,INTERESTED
283,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,379.42437586,106.198536585,0.0
288,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,421.68954564,109.9,1.0
289,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,605.637561267,105.11659340700001,0.0
298,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,653.27183659,103.15125,0.0
318,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,881.470911288,104.99,1.0
322,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,107.545073749,107.65675324700001,0.0
335,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,399.370858379,107.803333333,0.0
337,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,547.235178451,105.11659340700001,0.0
339,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,332.426502773,99.99,0.0
341,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,309.453222371,119.99,0.0
351,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,140.528645494,110.95115942,0.0
353,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,997.3528349810001,101.18047619,0.0
384,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,236.794574426,109.48441558399999,0.0
386,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,240.344323676,112.239166667,0.0
397,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,56.8703335695,101.349365079,0.0
399,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,662.9164645669999,104.535555556,0.0
401,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,348.076688425,110.4498,0.0
407,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,503.198183172,109.93,0.0
418,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,172.405422981,102.347894737,0.0
421,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,255.61282195099997,107.76521739100001,0.0
426,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,672.616385903,100.6,0.0
427,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,282.411030691,103.330241935,0.0
439,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,795.76870745,107.55727272700001,0.0
454,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,129.507018151,107.107222222,0.0
460,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,452.915854451,104.042903226,0.0
479,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,794.349764896,115.284772727,0.0
481,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,235.044737297,105.11659340700001,0.0
490,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,881.7362805439999,100.51631578899999,0.0
492,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,954.46944809,107.348918919,0.0
494,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,817.210466982,110.66602941200001,0.0
495,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,619.995899031,102.99,1.0
500,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,636.18592058,104.99,1.0
501,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,135.0,34.0,0.0,431.320292072,35.9,0.0
520,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,398.237816855,103.052580645,0.0
523,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,368.52624916900004,106.19255814,0.0
536,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,297.49079254,100.99,1.0
538,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,234.918454511,102.71666666700001,0.0
539,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,817.549237115,109.8,0.0
545,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,652.697606859,106.431707317,0.0
546,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,715.540662578,101.15825,0.0
554,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,623.648102375,110.86181818200001,0.0
557,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,1000.03957253,103.554,0.0
559,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,292.923492071,110.528571429,0.0
560,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,135.0,34.0,0.0,129.283126284,35.9,0.0
575,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,381.115985202,99.99,1.0
576,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,28.4840900308,112.48214285700001,0.0
579,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,106.26509853799999,109.17462365600001,0.0
582,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,683.623814683,108.865316456,0.0
583,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,792.5123735939999,111.36525,0.0
584,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,506.673475527,103.554,0.0
585,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,261.194735553,110.35507462700001,0.0
586,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,727.32853994,110.22849315100001,0.0
600,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,860.940662097,106.098723404,0.0
607,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,610.358926473,102.0,0.0
609,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,407.43899047800005,109.9,1.0
613,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,660.389706435,108.29593220299999,0.0
615,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,120.0,34.0,0.0,50.9664744337,35.9,0.0
630,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,120.0,34.0,0.0,528.74955631,40.006176470599996,0.0
635,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,456.602279195,104.99,1.0
639,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,505.35588837800003,109.79,0.0
641,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,580.057722812,103.330241935,0.0
645,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,415.51218958199996,106.098723404,0.0
662,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,120.0,34.0,0.0,767.379244843,35.9,0.0
666,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,29.0130303993,109.9,1.0
669,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,750.455454899,101.1378125,0.0
684,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,476.40338416,109.48441558399999,0.0
689,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,920.8845605460001,107.68284090899999,0.0
690,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,468.744107376,106.198536585,0.0
693,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,70.07826440779999,104.85375,0.0
701,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,726.581583415,103.15125,0.0
713,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,174.89743200799998,103.330241935,0.0
716,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,164.63754409999999,119.99,1.0
732,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,911.8400190010001,110.4498,0.0
734,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,890.150975164,100.51631578899999,0.0
736,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,No,150.0,34.0,0.0,716.69780522,35.9,1.0
737,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,768.36089084,104.9765,0.0
740,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,69.9132205393,102.29647058799999,0.0
751,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,841.3037226739999,108.93285714299999,0.0
785,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,976.880516693,102.0,0.0
787,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,946.380678487,99.99,1.0
792,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,83.0179188533,103.5864,0.0
796,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,616.797758559,102.99,1.0
801,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,20.6516326044,109.790909091,0.0
802,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,883.6873014910001,108.348979592,0.0
818,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,50.8179766434,112.239166667,0.0
822,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,526.79079271,107.68284090899999,0.0
825,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,920.394401308,105.11659340700001,0.0
833,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,229.04159573200002,100.51631578899999,0.0
836,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,224.93380569400003,102.99,1.0
837,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,309.249917963,110.4498,0.0
846,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,937.523821146,109.42901960799999,0.0
856,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,886.7503542889999,100.6,0.0
858,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,272.273806675,107.107222222,0.0
888,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,929.7725765380001,111.97375,0.0
898,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,220.556239893,106.52793103399999,0.0
900,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,490.51026755199996,106.52793103399999,0.0
910,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,442.387404763,99.99,1.0
912,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,135.25521495799998,99.99,1.0
916,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,749.4352007780001,99.99,1.0
941,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,349.945310199,109.17462365600001,0.0
948,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,930.483869232,105.11659340700001,0.0
949,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,549.669138769,128.508181818,0.0
959,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,437.840561941,109.79,0.0
969,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,912.891493845,104.52675,0.0
971,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,869.636808276,110.4498,0.0
972,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,306.25623965200003,128.508181818,0.0
975,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,515.616300645,106.978113208,0.0
981,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,213.08239316200002,109.698125,0.0
983,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,135.0,34.0,0.0,174.465979327,35.9,0.0
987,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,192.402435925,105.94200000000001,0.0
995,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,724.988742228,99.99,1.0
1023,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,934.011074085,107.65675324700001,0.0
1048,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,513.419268298,104.85375,0.0
1050,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,364.46804551,109.17462365600001,0.0
1051,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,967.036637915,103.554,0.0
1055,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,663.5699854009999,106.098723404,0.0
1065,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,933.391322177,110.4498,0.0
1067,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,41.5584626498,100.334827586,0.0
1068,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,54.8664742821,101.52529411799999,0.0
1071,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,946.6413249210001,99.99,0.0
1075,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,443.00342046099996,104.9765,0.0
1092,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,213.484131575,99.99,1.0
1096,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,451.506561184,109.654507042,0.0
1097,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,778.810635635,100.67181818200001,0.0
1104,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,113.25690579,102.0,0.0
1105,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,579.124180311,99.99,1.0
1107,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,558.791607037,110.35507462700001,0.0
1109,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,409.773705085,105.11659340700001,0.0
1120,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,874.4994831180001,99.99,1.0
1129,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,No,135.0,34.0,0.0,37.3288612449,39.99,0.0
1133,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,655.947877471,105.502613636,0.0
1146,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,126.57271162100001,110.66602941200001,0.0
1157,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,386.19993005099997,106.108108108,0.0
1166,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,156.987492625,103.330241935,0.0
1167,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,135.0,34.0,0.0,710.566940804,35.9,0.0
1171,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,185.934319145,104.324666667,0.0
1174,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,71.6410882701,110.4498,0.0
1176,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,137.472284235,110.4498,0.0
1178,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,701.6565063710001,111.254927536,0.0
1184,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,154.55674651200002,107.392469136,0.0
1186,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,780.3726990480001,99.99,1.0
1195,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,990.3478817069999,102.525142857,0.0
1200,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,554.7261578819999,101.52529411799999,0.0
1211,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,286.368363243,107.091351351,0.0
1218,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,675.265121262,109.55309090899999,0.0
1226,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,552.528587037,110.4498,0.0
1234,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,84.3493197377,114.451384615,0.0
1235,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,119.45488023899999,119.99,0.0
1239,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,511.81638495,106.431707317,0.0
1246,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,290.404365935,119.99,0.0
1248,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,153.92798576725,107.348918919,0.0
1257,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,17.4516055995,101.1378125,0.0
1279,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,19.0996418488,107.492608696,0.0
1287,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,361.239159421,111.97375,0.0
1292,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,No,135.0,34.0,0.0,736.73925726,37.945,0.0
1294,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,838.696360437,109.798382353,0.0
1295,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,6.902643256589999,115.314285714,0.0
1314,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,354.598148936,109.93,0.0
1315,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,98.6781744023,101.381,0.0
1317,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,6.1374142937,103.79075471700001,0.0
1340,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,449.085693296,106.108108108,0.0
1345,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,237.82884609200002,108.93285714299999,0.0
1362,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,120.0,34.0,0.0,78.33203967850001,39.99,0.0
1376,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,970.907494102,109.46791666700001,0.0
1385,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,256.878964636,114.10301886799999,0.0
1388,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,230.52791877200002,99.99,1.0
1389,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,509.72472535199995,103.330241935,0.0
1410,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,211.42667927099998,103.68547619,0.0
1411,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,391.765233744,108.156,1.0
1427,13712142,14.0,PRATA,21.0,ALUMINIO FORTALEZA,Yes,120.0,34.0,0.0,25.565772056999997,35.9,0.0
1429,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,916.392634665,115.284772727,0.0
1442,253661478,49.5,GRAFITE,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,381.08822061800004,114.910729927,0.0
1444,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,43.117738267700005,107.55727272700001,0.0
1445,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,606.073199538,108.741803279,0.0
1450,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,300.397851018,106.431707317,0.0
1453,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,685.4687275040001,106.108108108,0.0
1456,238630912,22.0,COLORIDO,24.0,TRAMONTINA,No,150.0,40.0,1.0,112.393925042,102.71666666700001,0.0
1460,253661510,49.5,VERMELHO,41.5,TRAMONTINA,Yes,120.0,47.0,1.0,24.5044518254,110.356382979,0.0
