,ITEM_ID,ALTURA,COR,LARGURA,MARCA,PROFUNDIDADE,TEM_FERRO_FUNDIDO,TEM_GRELHA,TEM_TAMPA,TIPO_WOK,ITEM_PRICE,INTERESTED
544,257530074,6.1,VERMELHO,27.8,HAPPYCALL,43.6,SIM,NAO,0.0,NAO,581.138461538,0.0
547,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.99,0.0
552,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
553,260008700,38.0,PRETO,30.0,PANELA MINEIRA,29.0,SIM,NAO,1.0,NAO,99.99,0.0
558,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.980442478,0.0
562,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
567,227368874,46.7,CEREJA,36.7,TRAMONTINA,19.8,NAO,NAO,0.0,SIM,129.99,0.0
570,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
571,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
578,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,180.89909090900002,0.0
581,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,89.615,0.0
589,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
590,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
592,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.76078431370001,0.0
593,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.99,0.0
599,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.6236111111,0.0
602,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,96.1337062937,0.0
608,14581492,32.0,PRETO,32.0,TRAMONTINA,15.0,NAO,NAO,1.0,SIM,89.99,0.0
612,239456822,9.0,GRAFITE,21.0,LA CUISINE,38.5,NAO,NAO,0.0,NAO,69.99,0.0
614,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.80178571430001,0.0
617,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.6236111111,0.0
618,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
619,257530074,6.1,VERMELHO,27.8,HAPPYCALL,43.6,SIM,NAO,0.0,NAO,559.9,0.0
621,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.977538462,0.0
622,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
623,251933514,38.8,VERDE,33.0,LA CUISINE,10.5,NAO,NAO,1.0,SIM,129.99,0.0
625,258446106,11.5,PRATA,21.5,BRINOX,36.5,NAO,NAO,1.0,NAO,1169.99,0.0
626,260006394,84.0,PRETO,91.0,PANELA MINEIRA,91.0,SIM,NAO,0.0,NAO,2209.99,0.0
628,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
631,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,179.99,0.0
636,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,88.19,0.0
642,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,98.9233009709,0.0
643,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.91632653059999,0.0
655,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.6236111111,0.0
656,264220456,30.5,VINHO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,186.369148936,0.0
657,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,187.692948718,0.0
658,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,84.8384848485,0.0
665,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.9543209877,0.0
668,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,102.718965517,0.0
670,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
672,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,104.48241758200001,0.0
673,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,96.09512195120001,0.0
678,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,95.0,0.0
679,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,89.99,0.0
686,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,91.5129032258,0.0
687,14581492,32.0,PRETO,32.0,TRAMONTINA,15.0,NAO,NAO,1.0,SIM,225.24,0.0
688,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
691,14581492,32.0,PRETO,32.0,TRAMONTINA,15.0,NAO,NAO,1.0,SIM,89.99,0.0
692,227368822,42.7,CEREJA,32.7,TRAMONTINA,18.1,NAO,NAO,0.0,SIM,92.995862069,0.0
694,256737590,19.6,VERMELHO,21.0,LA CUISINE,41.0,NAO,NAO,0.0,NAO,90.8233333333,0.0
697,254633548,30.5,AMARELO,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,209.99,0.0
699,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
707,264220488,30.5,GRAFITE,14.0,LA CUISINE,50.0,NAO,SIM,1.0,NAO,199.99,0.0
