,ITEM_ID,CAPACIDADE_(L),COMPOSICAO,COR,MARCA,PARA_LAVA_LOUCAS,TEMPO_GARANTIA,TEM_FERRO_FUNDIDO,SESSION_ID,ITEM_PRICE,INTERESTED
4886,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,575.543113654,95.83,0.0
5167,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,467.750328903,110.899245283,0.0
5551,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,906.482141472,103.3646226415,0.0
6023,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,103.18485201200001,95.83,0.0
6096,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,232.81977660599998,95.8646428571,0.0
6286,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,245.830141978,147.91,0.0
7338,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,944.1519188960001,95.83,0.0
7468,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,679.60413012,95.83,1.0
7753,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,872.928697394,95.83,0.0
7779,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,914.71656514,195.755,0.0
7952,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,152.160511568,295.68,0.0
8099,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,905.8725517639999,195.755,0.0
8206,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,609.739439742,95.83,0.0
8247,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,518.394259628,95.83,0.0
8391,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,786.9764047680001,95.83,1.0
8558,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,398.42366772800005,95.83,0.0
9220,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,601.7093920990001,95.83,0.0
9714,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,157.60958149799998,95.83,0.0
9767,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,158.783285614,110.35127272700001,0.0
10149,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,267.7409872405,104.39,0.0
10235,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,376.698688867,95.83,0.0
10259,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,241.226926035,117.244,0.0
10582,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,889.797587917,95.83,0.0
10887,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,400.967489154,95.83,0.0
11741,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,104.221915687,95.83,0.0
12160,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,676.995341876,96.8,0.0
12209,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,452.050091586,95.83,0.0
12372,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,523.306741051,95.83,0.0
12379,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,285.980620179,147.91,0.0
12809,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,663.51551743,95.83,0.0
12954,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,520.366631117,95.83,0.0
13067,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,444.95694000099996,95.83,0.0
13154,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,689.978038941,117.244,0.0
13290,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,714.1464633830001,106.537,0.0
13313,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,504.12816995199995,95.83,0.0
13614,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,857.520384758,295.68,1.0
13701,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,122.896622237,195.755,0.0
14070,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,86.12911232219999,95.83,0.0
14226,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,741.923302656,95.83,0.0
14235,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,655.327277009,144.438,0.0
14253,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,115.99371519299999,95.83,0.0
14327,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,187.50252380400002,110.35127272700001,0.0
14606,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,82.14393211859999,112.64884848466667,0.0
14863,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,612.316240243,114.94642424233334,0.0
15066,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,807.935964255,117.244,0.0
15411,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,679.60413012,176.72266666666667,0.0
15550,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,358.593138076,236.20133333333334,0.0
15791,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,518.654602299,295.68,0.0
16044,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,676.1491061190001,95.83,0.0
16935,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,299.728524456,110.899245283,0.0
17049,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,223.226350705,95.8785,0.0
17052,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,593.621599519,95.83,0.0
17367,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,371.293070131,95.84732142855,0.0
18137,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,270.82216660299997,95.8646428571,0.0
18369,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,696.1377395760001,95.83,0.0
19624,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,996.83808694,110.899245283,0.0
19753,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,973.876174717,95.83,0.0
19931,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,892.851563195,95.83,0.0
20124,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,793.703425685,95.8785,0.0
20137,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,114.330733507,295.68,1.0
20702,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,314.675315955,95.83,0.0
21201,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,589.59247901,95.83,1.0
21238,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,405.465033011,95.8646428571,0.0
21323,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,272.544682355,110.899245283,0.0
21326,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,615.192800521,103.3646226415,0.0
21362,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,719.541633885,95.83,0.0
21547,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,549.1301526269999,95.83,0.0
21549,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,316.78125038900004,95.83,0.0
21625,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,974.496303648,95.83,0.0
22054,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,241.963209697,95.83,0.0
22266,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,833.517767674,95.83,0.0
22289,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,490.15040192199996,95.83,0.0
22313,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,534.593455912,95.83,0.0
22480,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,139.171239046,95.83,0.0
22947,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,906.181114577,95.83,0.0
23151,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,972.1119897680001,110.899245283,0.0
23748,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,480.33972059900003,95.83,0.0
23847,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,316.438377798,276.9,0.0
24234,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,469.978176085,95.83,0.0
24511,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,621.195098788,151.876097561,0.0
24611,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,193.698980246,138.21714680166667,0.0
24849,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,680.372544091,124.55819604233334,0.0
24979,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,870.86163241,110.899245283,0.0
25198,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,257.761542031,95.83,0.0
25446,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,299.867184695,95.83,0.0
25455,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,297.59626516,95.83,0.0
25855,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,289.018150697,95.8646428571,0.0
26406,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,247.885159478,95.83,0.0
26409,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,483.81656187199997,111.18903846200001,0.0
27419,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,937.4788918969999,157.3117788465,0.0
27457,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,333.296372186,203.43451923100002,0.0
28373,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,88.88564917629999,249.55725961550002,0.0
28759,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,963.891965255,295.68,0.0
29221,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,935.024561429,195.755,0.0
29328,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,634.33935754,95.83,0.0
29802,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,4.17684926313,195.755,0.0
29997,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,439.44009153400003,295.68,0.0
30046,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,581.074501046,95.83,0.0
30413,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,636.47190687,95.8785,0.0
31996,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,128.974645338,95.8623333333,0.0
32013,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,852.970898575,95.84616666664999,0.0
32065,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,315.646047134,95.83,0.0
32077,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,33.5356751086,349.99,0.0
32329,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,383.11061175099996,244.9,0.0
32662,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,293.399957776,107.980135135,0.0
32748,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,866.837934935,110.899245283,0.0
33043,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,628.51031571,103.3646226415,0.0
33737,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,597.061681623,95.83,0.0
33780,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,955.0085219910001,95.8646428571,0.0
34484,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,189.483612336,95.83,0.0
34696,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,24.7495356685,110.35127272700001,0.0
34720,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,669.3855167080001,95.8646428571,0.0
34722,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,749.819394184,95.84732142855,0.0
35171,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,848.844723177,95.83,0.0
35218,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,936.22502949,95.83,0.0
35313,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,35.934691339299995,95.83,0.0
35325,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,790.715251687,98.84384905659999,0.0
35339,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,326.218978366,101.8576981132,0.0
35403,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,638.1655762309999,104.8715471698,0.0
35415,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,788.963875832,107.8853962264,0.0
36061,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,698.568051858,110.899245283,0.0
36066,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,367.99894969699994,103.3646226415,0.0
36079,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,473.322924074,95.83,1.0
36198,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,591.85011817,95.83,0.0
36255,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,345.87982699599996,95.83,0.0
36405,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,406.593184833,95.83,0.0
36513,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,702.148792835,95.83,0.0
36622,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,921.410036515,95.83,0.0
36935,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,523.8921830930001,95.83,0.0
37895,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,754.2831037389999,95.83,0.0
37937,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,808.5561185560001,111.18903846200001,0.0
38076,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,36.804392406,316.568461538,0.0
38456,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,784.611304826,95.8785,0.0
38458,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,9.11767341475,95.85425000000001,0.0
39120,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,194.734821498,95.83,1.0
39222,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,433.00446133,95.8623333333,0.0
39456,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,170.566798313,95.83,0.0
39470,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,951.7659209310001,95.83,0.0
39476,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,430.759920384,95.83,0.0
39520,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,498.38065546900003,95.83,1.0
39933,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,291.051921193,103.50951923100001,0.0
40063,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,605.1772917559999,111.18903846200001,0.0
40145,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,923.852621852,97.78,0.0
40856,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,744.30894419,290.9675,0.0
40981,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,347.32431155,292.5383333333333,0.0
41053,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,774.2845294030001,294.1091666666667,0.0
41110,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,47.038515642,295.68,0.0
41248,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,719.5081363180001,95.83,0.0
41285,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,608.313678286,95.83,0.0
41423,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,324.123608949,95.83,0.0
41448,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,297.758725458,95.83,1.0
41597,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,243.142002446,95.83,0.0
41874,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,37.5808135253,95.8785,0.0
41943,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,405.387756352,316.568461538,0.0
41951,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,69.04341664399999,95.83,0.0
42217,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,479.834244357,103.50951923100001,0.0
42266,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,310.491768036,111.18903846200001,0.0
42277,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,917.047919748,95.83,0.0
42808,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,529.764503345,95.83,1.0
42827,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,331.096541043,95.83,0.0
42931,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,810.303568717,95.83,0.0
42960,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,860.171973099,95.83,0.0
43048,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,226.59829580599998,95.83,0.0
43459,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,364.19902489199995,110.899245283,0.0
43570,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,576.041177888,95.83,1.0
44257,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,199.92094775099997,334.472857143,0.0
44325,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,251.116603261,164.99,1.0
44340,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,940.993306737,147.91,0.0
44700,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,19.8403740374,96.8,0.0
44819,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,160.737090804,95.83,1.0
45103,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,219.402581297,95.83,0.0
45225,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,138.623109421,121.444814815,0.0
45642,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,460.2648222,95.83,0.0
46078,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,339.887892746,95.83,0.0
46171,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,157.114354566,95.83,0.0
46462,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,171.33573512700002,95.83,0.0
46643,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,740.4455668889999,95.83,0.0
46672,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,246.386341795,95.87619047620001,0.0
46941,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,756.9219888810001,95.8785,0.0
47283,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,917.880945605,95.83,0.0
47610,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,137.411922046,101.9050675675,0.0
47659,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,70.5708642486,107.980135135,0.0
47946,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,295.428410739,144.438,0.0
48076,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,722.598222055,95.8646428571,0.0
48139,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,703.8459672460001,103.38194407005,0.0
48163,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,99.7481282969,110.899245283,0.0
48310,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,895.9290243510001,103.3646226415,0.0
48571,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,21.8360673896,95.83,0.0
48645,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,65.81073607399999,95.83,0.0
49681,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,840.932924835,95.8646428571,0.0
49987,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,668.249101734,95.8585294118,0.0
50147,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,754.16450087,95.83,0.0
50172,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,100.08636901700001,95.83,0.0
50927,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,792.443053735,95.83,0.0
51126,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,11.5828927466,96.8,0.0
51139,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,83.0748817509,97.28999999999999,0.0
51155,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,464.985786879,97.78,0.0
51260,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,291.059613829,95.83,0.0
51343,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,360.82091289699997,111.18903846200001,0.0
51465,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,671.152828664,95.83,0.0
51811,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,79.3260153412,95.83,0.0
51899,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,108.841939761,95.83,0.0
52181,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,722.57825213,95.83,0.0
52251,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,209.979121653,95.8623333333,0.0
52285,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,439.97539257,95.8634880952,0.0
52288,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,645.9326450780001,95.8646428571,0.0
52467,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,249.085606452,96.33232142854999,0.0
52544,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,275.47205509099996,96.8,0.0
52637,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,353.770181981,95.83,0.0
52732,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,845.928431934,110.35127272700001,0.0
53035,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,842.42822591,95.83,0.0
53104,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,48.518477345,97.78,0.0
53199,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,986.51598494,95.83,0.0
53400,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,721.0993435080001,95.83,0.0
54321,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,139.973550265,95.83,0.0
55001,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,68.23145871050001,103.09063636350001,0.0
55005,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,43.8482762457,110.35127272700001,0.0
55007,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,209.10051079299998,334.472857143,0.0
55358,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,196.62026901599998,215.1514285715,0.0
55663,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,206.504648202,95.83,0.0
55796,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,934.9183501069999,95.83,0.0
56033,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,498.853571735,96.315,0.0
56293,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,746.715618102,96.8,0.0
56378,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,14.500751078099999,95.83,0.0
56430,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,654.447002766,151.876097561,0.0
56526,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,243.047545624,276.9,0.0
56741,224110340,1.8,PORCELANA,PRETO,PRAVA,Yes,3.0,SIM,817.267809385,186.36499999999998,0.0
56809,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,544.52585357,95.83,0.0
56883,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,784.735889616,107.980135135,0.0
57164,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,626.495994613,295.68,0.0
57276,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,461.49141967649996,95.83,0.0
57316,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,296.48684474,95.8623333333,0.0
57582,788792,1.5,INOX,INOX,TRAMONTINA,No,3.0,NAO,463.093168923,295.68,0.0
58020,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,380.30095531250004,95.8585294118,0.0
58566,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,297.508741702,107.980135135,0.0
58593,581458,0.78,INOX,INOX,TRAMONTINA,No,12.0,NAO,431.81633942900004,101.9050675675,0.0
