,ITEM_ID,ALTURA,COR,LARGURA,PROFUNDIDADE,ITEM_PRICE,INTERESTED
13781,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
13880,256646756,7.5,VERMELHO,19.5,32.5,47.02555555560001,0.0
13964,256646756,7.5,VERMELHO,19.5,32.5,48.755,0.0
14195,257256630,7.5,GRAFITE,19.5,32.0,48.682500000000005,0.0
14554,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
15259,258462918,7.5,TURQUESA,19.5,32.5,48.61,1.0
15316,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
15525,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
16785,258463110,7.0,TURQUESA,14.5,27.0,47.6392379679,0.0
17264,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
18462,258462918,7.5,TURQUESA,19.5,32.5,56.03,1.0
19104,258464550,7.5,PRATA,19.5,32.5,59.465,0.0
20188,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
20316,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
20586,256646756,7.5,VERMELHO,19.5,32.5,49.3518,0.0
21151,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
21178,258462918,7.5,TURQUESA,19.5,32.5,48.61,0.0
21390,256646756,7.5,VERMELHO,19.5,32.5,49.7961538462,0.0
22085,256646756,7.5,VERMELHO,19.5,32.5,48.3632352941,0.0
22133,258464550,7.5,PRATA,19.5,32.5,44.17661764705,0.0
22181,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
22251,258464582,7.0,PRATA,14.5,27.0,45.54063063063333,0.0
22287,257256630,7.5,GRAFITE,19.5,32.0,51.091261261266666,0.0
23752,256646756,7.5,VERMELHO,19.5,32.5,56.641891891899995,0.0
23988,258469704,7.5,CEREJA,19.0,34.5,61.105,0.0
24271,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
24866,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
25596,256646756,7.5,VERMELHO,19.5,32.5,56.641891891899995,0.0
25769,258463110,7.0,TURQUESA,14.5,27.0,54.46594594595,0.0
25923,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
26116,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
26190,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
26490,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
26492,258462918,7.5,TURQUESA,19.5,32.5,48.61,0.0
26493,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
26688,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
26991,256646756,7.5,VERMELHO,19.5,32.5,45.9,0.0
27196,258462918,7.5,TURQUESA,19.5,32.5,59.99,0.0
27449,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
27464,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
28280,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
28730,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
28869,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
29194,258462918,7.5,TURQUESA,19.5,32.5,48.61,1.0
30468,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
30529,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
30533,256646756,7.5,VERMELHO,19.5,32.5,45.9,0.0
30970,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
31187,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
31444,258464582,7.0,PRATA,14.5,27.0,39.91,1.0
32328,258469704,7.5,CEREJA,19.0,34.5,63.346000000000004,0.0
32876,258469704,7.5,CEREJA,19.0,34.5,61.105,0.0
33369,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
34402,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
35077,258463110,7.0,TURQUESA,14.5,27.0,46.0,1.0
35695,256646756,7.5,VERMELHO,19.5,32.5,48.6583333333,0.0
36191,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
36344,258463110,7.0,TURQUESA,14.5,27.0,49.145,0.0
37080,257256908,7.0,AZUL,14.5,27.0,48.7,0.0
37252,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
37432,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
37570,258462918,7.5,TURQUESA,19.5,32.5,48.61,0.0
37725,258464582,7.0,PRATA,14.5,27.0,48.6156862745,0.0
38144,258462918,7.5,TURQUESA,19.5,32.5,48.621372549,0.0
38465,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
38632,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
38644,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
39357,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
40677,258469704,7.5,CEREJA,19.0,34.5,42.945,0.0
40775,256646756,7.5,VERMELHO,19.5,32.5,45.9,1.0
41415,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
41513,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
41875,258464550,7.5,PRATA,19.5,32.5,47.538163636350006,0.0
42160,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
42169,257256908,7.0,AZUL,14.5,27.0,48.7,1.0
42225,258464582,7.0,PRATA,14.5,27.0,47.5568,0.0
42353,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
43383,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
43478,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
43747,258462918,7.5,TURQUESA,19.5,32.5,56.03,1.0
43769,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
44028,258463110,7.0,TURQUESA,14.5,27.0,50.1933333333,0.0
44384,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
44402,258463110,7.0,TURQUESA,14.5,27.0,39.91,0.0
44453,256646756,7.5,VERMELHO,19.5,32.5,48.61,1.0
44910,258463110,7.0,TURQUESA,14.5,27.0,48.60076190476667,0.0
45876,256646756,7.5,VERMELHO,19.5,32.5,48.591523809533335,0.0
45907,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
46107,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
47302,256646756,7.5,VERMELHO,19.5,32.5,48.3632352941,0.0
47360,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
47986,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
48193,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
48549,258463110,7.0,TURQUESA,14.5,27.0,52.29,1.0
48578,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
48949,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
49089,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
49343,258462918,7.5,TURQUESA,19.5,32.5,48.61,1.0
49490,256646756,7.5,VERMELHO,19.5,32.5,52.0,0.0
49989,256646756,7.5,VERMELHO,19.5,32.5,51.3111764706,0.0
50690,256646756,7.5,VERMELHO,19.5,32.5,48.626111111099995,0.0
50787,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
50886,258464582,7.0,PRATA,14.5,27.0,39.91,0.0
51341,258463110,7.0,TURQUESA,14.5,27.0,39.91,0.0
51545,256646756,7.5,VERMELHO,19.5,32.5,51.3111764706,0.0
52152,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
52373,258469704,7.5,CEREJA,19.0,34.5,61.105,0.0
52650,258463110,7.0,TURQUESA,14.5,27.0,39.91,0.0
53273,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
53357,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
53401,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
53760,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
54002,258463110,7.0,TURQUESA,14.5,27.0,39.91,1.0
54398,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
54520,258464582,7.0,PRATA,14.5,27.0,39.91,0.0
54631,256646756,7.5,VERMELHO,19.5,32.5,48.626111111099995,0.0
55124,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
55338,257256630,7.5,GRAFITE,19.5,32.0,48.472760504200004,0.0
55744,256646756,7.5,VERMELHO,19.5,32.5,48.3632352941,0.0
55869,258464550,7.5,PRATA,19.5,32.5,62.9,1.0
56137,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
56791,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
56890,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
57100,256646756,7.5,VERMELHO,19.5,32.5,47.02555555560001,0.0
57135,258469704,7.5,CEREJA,19.0,34.5,61.105,0.0
57556,256646756,7.5,VERMELHO,19.5,32.5,45.9,1.0
57653,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
57970,256646756,7.5,VERMELHO,19.5,32.5,48.61,1.0
58041,256646756,7.5,VERMELHO,19.5,32.5,56.03,1.0
58099,256646756,7.5,VERMELHO,19.5,32.5,52.0,0.0
58972,258462918,7.5,TURQUESA,19.5,32.5,45.955,0.0
59080,258463110,7.0,TURQUESA,14.5,27.0,39.91,1.0
59421,256646756,7.5,VERMELHO,19.5,32.5,48.3632352941,0.0
59934,258463110,7.0,TURQUESA,14.5,27.0,52.29,1.0
59949,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
60110,256646756,7.5,VERMELHO,19.5,32.5,45.9,1.0
60184,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
60302,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
61120,258469704,7.5,CEREJA,19.0,34.5,63.346000000000004,0.0
61137,256646756,7.5,VERMELHO,19.5,32.5,56.641891891899995,0.0
61288,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
62206,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
62256,258464582,7.0,PRATA,14.5,27.0,48.63636363635,0.0
63145,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
63249,256646756,7.5,VERMELHO,19.5,32.5,63.7,0.0
63703,256646756,7.5,VERMELHO,19.5,32.5,56.163529411750005,0.0
64194,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
65263,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
65686,256646756,7.5,VERMELHO,19.5,32.5,51.3111764706,0.0
65722,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
65771,258469704,7.5,CEREJA,19.0,34.5,48.622506493500005,0.0
65841,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
65891,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
65900,258462918,7.5,TURQUESA,19.5,32.5,48.61,1.0
66001,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
66692,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
66813,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
67736,258462918,7.5,TURQUESA,19.5,32.5,48.61,1.0
68466,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
68839,258464582,7.0,PRATA,14.5,27.0,45.6216984127,0.0
68853,258463110,7.0,TURQUESA,14.5,27.0,42.6611111111,0.0
69202,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
69514,258469704,7.5,CEREJA,19.0,34.5,48.582285714300006,0.0
70016,257256908,7.0,AZUL,14.5,27.0,48.582285714300006,0.0
71730,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
72016,257256630,7.5,GRAFITE,19.5,32.0,47.24114285715,0.0
72550,256646756,7.5,VERMELHO,19.5,32.5,45.9,0.0
72573,256646756,7.5,VERMELHO,19.5,32.5,56.641891891899995,0.0
72742,258462918,7.5,TURQUESA,19.5,32.5,48.61,0.0
72927,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
73032,258464582,7.0,PRATA,14.5,27.0,39.91,0.0
73281,256646756,7.5,VERMELHO,19.5,32.5,45.9,0.0
74087,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
74178,256646756,7.5,VERMELHO,19.5,32.5,48.755,0.0
74448,256646756,7.5,VERMELHO,19.5,32.5,50.0330882353,0.0
75013,256646756,7.5,VERMELHO,19.5,32.5,51.3111764706,0.0
75088,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
75222,258469704,7.5,CEREJA,19.0,34.5,47.6326470588,0.0
75228,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
75978,258462918,7.5,TURQUESA,19.5,32.5,48.61,1.0
76389,258463110,7.0,TURQUESA,14.5,27.0,51.032,0.0
76559,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
78883,258464582,7.0,PRATA,14.5,27.0,49.145,0.0
79987,256646756,7.5,VERMELHO,19.5,32.5,45.9,0.0
80989,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
81142,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
81433,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
81802,256646756,7.5,VERMELHO,19.5,32.5,56.03,1.0
81857,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
81889,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
82639,256646756,7.5,VERMELHO,19.5,32.5,48.639857142866674,0.0
82698,258469704,7.5,CEREJA,19.0,34.5,48.697428571433335,0.0
83016,256646756,7.5,VERMELHO,19.5,32.5,48.755,0.0
84656,258463110,7.0,TURQUESA,14.5,27.0,48.682500000000005,0.0
85296,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
86064,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
86392,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
86772,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
88063,258462918,7.5,TURQUESA,19.5,32.5,48.61,0.0
88567,257256908,7.0,AZUL,14.5,27.0,45.63555555555,0.0
88589,258463110,7.0,TURQUESA,14.5,27.0,42.6611111111,0.0
88984,256646756,7.5,VERMELHO,19.5,32.5,45.9,0.0
89012,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
89082,256646756,7.5,VERMELHO,19.5,32.5,52.346363636350006,0.0
89726,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
89804,258469704,7.5,CEREJA,19.0,34.5,52.346363636350006,0.0
90598,258462918,7.5,TURQUESA,19.5,32.5,56.03,1.0
90903,258463110,7.0,TURQUESA,14.5,27.0,39.91,0.0
90939,256646756,7.5,VERMELHO,19.5,32.5,46.6552941176,0.0
91186,256646756,7.5,VERMELHO,19.5,32.5,45.9,1.0
91649,258464582,7.0,PRATA,14.5,27.0,48.516000000000005,0.0
91820,256646756,7.5,VERMELHO,19.5,32.5,45.9,0.0
92050,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
92359,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
92396,258463110,7.0,TURQUESA,14.5,27.0,52.29,0.0
92952,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
93357,258462918,7.5,TURQUESA,19.5,32.5,48.61,0.0
93750,258469704,7.5,CEREJA,19.0,34.5,63.346000000000004,0.0
94395,256646756,7.5,VERMELHO,19.5,32.5,52.0,0.0
94421,258469704,7.5,CEREJA,19.0,34.5,57.85,0.0
94926,256646756,7.5,VERMELHO,19.5,32.5,63.7,0.0
95092,256646756,7.5,VERMELHO,19.5,32.5,56.03,1.0
95161,258463110,7.0,TURQUESA,14.5,27.0,49.145,0.0
95182,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
95257,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
96517,256646756,7.5,VERMELHO,19.5,32.5,48.3632352941,0.0
96528,258469704,7.5,CEREJA,19.0,34.5,48.445490196066665,0.0
96923,258462918,7.5,TURQUESA,19.5,32.5,48.527745098033336,0.0
97644,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
99031,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
99110,258463110,7.0,TURQUESA,14.5,27.0,48.582285714300006,0.0
99451,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
99714,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
99960,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
100584,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
100980,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
101135,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
101358,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
102345,258463110,7.0,TURQUESA,14.5,27.0,44.0366666667,0.0
102899,256646756,7.5,VERMELHO,19.5,32.5,49.7961538462,0.0
103686,258463110,7.0,TURQUESA,14.5,27.0,50.1933333333,0.0
104064,258469704,7.5,CEREJA,19.0,34.5,51.096666666649995,0.0
104139,256646756,7.5,VERMELHO,19.5,32.5,52.0,0.0
104563,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
104737,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
104861,256646756,7.5,VERMELHO,19.5,32.5,49.7961538462,0.0
104902,256646756,7.5,VERMELHO,19.5,32.5,49.7961538462,0.0
105285,258463110,7.0,TURQUESA,14.5,27.0,39.91,0.0
106050,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
106156,258464582,7.0,PRATA,14.5,27.0,48.516000000000005,0.0
106231,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
106454,256646756,7.5,VERMELHO,19.5,32.5,48.626111111099995,0.0
107301,256646756,7.5,VERMELHO,19.5,32.5,52.0,0.0
107759,258464550,7.5,PRATA,19.5,32.5,54.015,0.0
108073,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
108277,256646756,7.5,VERMELHO,19.5,32.5,46.146363636400004,0.0
108636,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
108956,258464550,7.5,PRATA,19.5,32.5,50.31352941175,0.0
109246,256646756,7.5,VERMELHO,19.5,32.5,52.0,0.0
109702,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
109843,258464582,7.0,PRATA,14.5,27.0,46.731372549,0.0
110346,257249456,7.5,AZUL,19.5,23.5,44.8356862745,0.0
110682,258463110,7.0,TURQUESA,14.5,27.0,42.94,0.0
110823,256646756,7.5,VERMELHO,19.5,32.5,56.641891891899995,0.0
111184,256646756,7.5,VERMELHO,19.5,32.5,52.0,1.0
111240,258462918,7.5,TURQUESA,19.5,32.5,56.03,0.0
111468,258464550,7.5,PRATA,19.5,32.5,62.9,0.0
111474,258462918,7.5,TURQUESA,19.5,32.5,51.445,0.0
112197,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
112221,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
112994,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
113096,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
113297,258469704,7.5,CEREJA,19.0,34.5,45.336666666666666,0.0
113413,258469704,7.5,CEREJA,19.0,34.5,50.68333333333334,0.0
113875,256646756,7.5,VERMELHO,19.5,32.5,56.03,0.0
114754,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
114776,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
115347,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
115688,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
115772,256646756,7.5,VERMELHO,19.5,32.5,48.61,1.0
115784,256646756,7.5,VERMELHO,19.5,32.5,39.99,0.0
115788,256646756,7.5,VERMELHO,19.5,32.5,46.4136,0.0
116723,256646756,7.5,VERMELHO,19.5,32.5,48.61,0.0
116858,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
117035,258463110,7.0,TURQUESA,14.5,27.0,50.1933333333,0.0
117879,258463110,7.0,TURQUESA,14.5,27.0,49.145,0.0
118060,258464582,7.0,PRATA,14.5,27.0,48.863642857150005,0.0
118440,256646756,7.5,VERMELHO,19.5,32.5,48.582285714300006,0.0
118790,256646756,7.5,VERMELHO,19.5,32.5,48.6627272727,0.0
118819,256646756,7.5,VERMELHO,19.5,32.5,48.6270588235,0.0
119252,258463110,7.0,TURQUESA,14.5,27.0,39.91,0.0
119422,256646756,7.5,VERMELHO,19.5,32.5,48.623181818199996,0.0
120182,256646756,7.5,VERMELHO,19.5,32.5,48.3632352941,0.0
