,ITEM_ID,CAPACIDADE_(L),SESSION_ID,ITEM_PRICE,INTERESTED
109206,788804,0.1,757.75381511,60.31166666665,0.0
110002,788804,0.1,26.6345928016,59.9,0.0
113250,788804,0.1,467.05310106,59.9,0.0
115025,788804,0.1,802.194778847,62.370000000000005,0.0
115483,788804,0.1,909.773320201,64.84,0.0
115485,788804,0.1,793.44303638,60.7233333333,0.0
116219,788804,0.1,105.84550408,58.9,0.0
116667,788804,0.1,867.925569885,80.7592307692,0.0
116731,788804,0.1,530.105010188,59.9,0.0
117544,788804,0.1,239.93351240599998,60.888000000000005,0.0
118337,788804,0.1,967.985743883,69.09066666665001,0.0
118909,788804,0.1,314.716657488,77.2933333333,0.0
119898,788804,0.1,329.149426112,64.84,0.0
120124,788804,0.1,486.798580473,64.84,0.0
