,ITEM_ID,FORMATO,LARGURA,PROFUNDIDADE,SESSION_ID,ITEM_PRICE,INTERESTED
7039,260012220,QUADRADO,25.0,34.0,608.6584451,45.74,0.0
7294,260012220,QUADRADO,25.0,34.0,867.810385556,43.49,0.0
7592,260012112,QUADRADO,25.0,34.0,896.838530137,37.99,0.0
7825,260012220,QUADRADO,25.0,34.0,490.130911966,42.99,0.0
7854,260011742,REDONDO,29.0,38.0,815.341629663,47.99,0.0
8923,260012112,QUADRADO,25.0,34.0,979.385406815,55.96,0.0
9264,260011742,REDONDO,29.0,38.0,577.279342926,44.99,0.0
9414,260011742,REDONDO,29.0,38.0,873.56803914,44.99,0.0
9463,260012112,QUADRADO,25.0,34.0,763.01944075,55.96,0.0
9716,260012198,QUADRADO,29.0,38.0,91.68638925709999,47.99,1.0
10039,260007152,REDONDO,25.0,34.0,358.820308834,37.99,0.0
10099,260012198,QUADRADO,29.0,38.0,648.792591237,46.975,0.0
10107,260012112,QUADRADO,25.0,34.0,639.598098104,55.96,0.0
10315,260012112,QUADRADO,25.0,34.0,724.056730921,55.96,0.0
10395,260012112,QUADRADO,25.0,34.0,195.080956118,55.96,0.0
11442,260012220,QUADRADO,25.0,34.0,234.936434645,44.43444444439999,0.0
11545,260007152,REDONDO,25.0,34.0,936.088090847,49.87,0.0
11745,260007152,REDONDO,25.0,34.0,533.118389221,49.87,0.0
11800,260007152,REDONDO,25.0,34.0,720.119528133,37.99,0.0
11850,260011742,REDONDO,29.0,38.0,967.4779732589999,43.980000000000004,0.0
12066,260012220,QUADRADO,25.0,34.0,598.443048096,49.97,0.0
12445,260012112,QUADRADO,25.0,34.0,936.9761900860001,55.96,0.0
13078,260012198,QUADRADO,29.0,38.0,934.7180310260001,47.99,0.0
13100,260012112,QUADRADO,25.0,34.0,758.7075854230001,55.96,0.0
13402,260012220,QUADRADO,25.0,34.0,834.9496420910001,43.601111111099996,0.0
13461,260012198,QUADRADO,29.0,38.0,635.180089405,47.99,1.0
13632,260012112,QUADRADO,25.0,34.0,195.854755027,55.96,0.0
14110,260011742,REDONDO,29.0,38.0,845.7639160589999,47.615,0.0
14757,260012112,QUADRADO,25.0,34.0,333.001603036,51.7875,0.0
14767,260012112,QUADRADO,25.0,34.0,243.85553335400002,55.96,0.0
14825,260012220,QUADRADO,25.0,34.0,278.186775974,51.66,0.0
15025,260007398,REDONDO,25.0,34.0,389.791676236,47.36,0.0
15144,260012198,QUADRADO,29.0,38.0,18.6884899422,68.54,0.0
15314,260012112,QUADRADO,25.0,34.0,709.909093343,55.96,0.0
16005,260012112,QUADRADO,25.0,34.0,796.79236718,37.99,0.0
16079,260007152,REDONDO,25.0,34.0,153.361616509,37.99,0.0
16582,260012198,QUADRADO,29.0,38.0,614.443509515,47.99,0.0
16634,260011742,REDONDO,29.0,38.0,678.08997091,46.99,0.0
16765,260012198,QUADRADO,29.0,38.0,946.038466442,47.99,0.0
16899,260007152,REDONDO,25.0,34.0,685.679797785,37.99,0.0
17545,260012198,QUADRADO,29.0,38.0,796.1834448660001,40.32333333333334,0.0
17671,260012220,QUADRADO,25.0,34.0,692.065054209,42.656666666666666,0.0
17694,260012220,QUADRADO,25.0,34.0,25.2030819823,44.99,0.0
18184,260012198,QUADRADO,29.0,38.0,87.12870667809999,44.99,0.0
18190,260011742,REDONDO,29.0,38.0,534.267867678,44.99,0.0
18790,260012198,QUADRADO,29.0,38.0,970.170193923,68.54,0.0
18830,260012220,QUADRADO,25.0,34.0,486.944730475,43.601111111099996,0.0
18959,260012198,QUADRADO,29.0,38.0,397.25417414599997,47.99,0.0
18988,260012112,QUADRADO,25.0,34.0,639.398016766,55.96,0.0
19887,260012112,QUADRADO,25.0,34.0,750.886681588,55.96,0.0
21019,260007152,REDONDO,25.0,34.0,47.545029219700005,37.99,0.0
21033,260012112,QUADRADO,25.0,34.0,581.333411444,37.99,0.0
21214,260012112,QUADRADO,25.0,34.0,815.7474055539999,55.96,0.0
21425,260012220,QUADRADO,25.0,34.0,770.7072050039999,39.99,1.0
21543,260012198,QUADRADO,29.0,38.0,751.360308958,47.99,1.0
21628,260012112,QUADRADO,25.0,34.0,753.4311134430001,55.96,1.0
21911,260012112,QUADRADO,25.0,34.0,877.012997964,55.96,0.0
21931,260012220,QUADRADO,25.0,34.0,434.52388360699996,55.96,0.0
21958,260012112,QUADRADO,25.0,34.0,240.965179927,55.96,0.0
22104,260012112,QUADRADO,25.0,34.0,387.213248461,37.99,1.0
22111,260012220,QUADRADO,25.0,34.0,8.105126752410001,43.601111111099996,0.0
22193,260012220,QUADRADO,25.0,34.0,639.58277397,49.16555555555,0.0
22899,260007398,REDONDO,25.0,34.0,352.112869583,54.73,1.0
23331,260012220,QUADRADO,25.0,34.0,445.888392323,43.601111111099996,0.0
23457,260012220,QUADRADO,25.0,34.0,825.853561659,44.43444444439999,0.0
23980,260012112,QUADRADO,25.0,34.0,415.12908216,55.96,0.0
24917,260007152,REDONDO,25.0,34.0,811.1097886169999,49.87,0.0
25039,260012220,QUADRADO,25.0,34.0,136.65178162,43.601111111099996,0.0
25316,260007152,REDONDO,25.0,34.0,492.349679312,41.99,1.0
25467,260012112,QUADRADO,25.0,34.0,670.1046287,37.99,0.0
25545,260007152,REDONDO,25.0,34.0,47.060107708100006,41.99,0.0
25756,260007398,REDONDO,25.0,34.0,945.1124648,49.9,0.0
26093,260012112,QUADRADO,25.0,34.0,121.062459661,55.96,0.0
26175,260007152,REDONDO,25.0,34.0,19.1478080589,49.87,1.0
26520,260012198,QUADRADO,29.0,38.0,658.837294001,47.99,0.0
26527,260012112,QUADRADO,25.0,34.0,553.018834517,55.96,0.0
26867,260011742,REDONDO,29.0,38.0,946.232790568,46.99,0.0
26930,260012112,QUADRADO,25.0,34.0,298.818935978,37.99,0.0
27322,260007152,REDONDO,25.0,34.0,518.475394331,49.87,0.0
27657,260007152,REDONDO,25.0,34.0,996.003161748,37.99,0.0
28533,260007152,REDONDO,25.0,34.0,28.542238592600004,41.99,0.0
29126,260012220,QUADRADO,25.0,34.0,963.7477936239999,43.601111111099996,0.0
29300,260012198,QUADRADO,29.0,38.0,140.673518493,68.54,0.0
29334,260012112,QUADRADO,25.0,34.0,120.56750902200001,37.99,0.0
29353,260011742,REDONDO,29.0,38.0,637.145603261,37.99,0.0
29544,260012112,QUADRADO,25.0,34.0,926.3166978439999,37.99,0.0
29672,260012198,QUADRADO,29.0,38.0,98.62385890569999,46.975,0.0
30105,260012112,QUADRADO,25.0,34.0,654.869116929,55.96,0.0
30238,260007398,REDONDO,25.0,34.0,673.616041194,39.99,1.0
30565,260012112,QUADRADO,25.0,34.0,539.08633895,55.96,0.0
30779,260012112,QUADRADO,25.0,34.0,246.76943360200002,55.96,0.0
30832,260012112,QUADRADO,25.0,34.0,169.88105209399998,55.96,0.0
30894,260011742,REDONDO,29.0,38.0,757.055784836,44.99,0.0
31378,260012220,QUADRADO,25.0,34.0,695.323607202,49.9,0.0
31519,260007152,REDONDO,25.0,34.0,142.959317976,49.87,0.0
31632,260007152,REDONDO,25.0,34.0,437.06309448699994,37.99,0.0
32105,260007152,REDONDO,25.0,34.0,724.814618051,42.99,0.0
32752,260012198,QUADRADO,29.0,38.0,964.39986401,47.99,0.0
33784,260007152,REDONDO,25.0,34.0,283.366432772,41.99,0.0
33962,260007152,REDONDO,25.0,34.0,999.928931603,37.99,0.0
33994,260012198,QUADRADO,29.0,38.0,782.099279796,68.54,0.0
34000,260012198,QUADRADO,29.0,38.0,237.906473127,47.99,0.0
34014,260012112,QUADRADO,25.0,34.0,870.1617687339999,55.96,0.0
34114,260012112,QUADRADO,25.0,34.0,675.863687713,37.99,0.0
34224,260012112,QUADRADO,25.0,34.0,148.67456005,37.99,0.0
34255,260012220,QUADRADO,25.0,34.0,410.615614084,40.32333333333334,0.0
34673,260012220,QUADRADO,25.0,34.0,33.1202130911,42.656666666666666,0.0
35418,260011742,REDONDO,29.0,38.0,200.66445273,44.99,0.0
35421,260007152,REDONDO,25.0,34.0,194.307232472,49.87,0.0
35466,260012112,QUADRADO,25.0,34.0,686.518970785,37.99,0.0
35660,260007152,REDONDO,25.0,34.0,919.5896743589999,43.93,0.0
35729,260007152,REDONDO,25.0,34.0,361.28844663800004,49.87,0.0
35838,260012220,QUADRADO,25.0,34.0,173.39967068099998,44.8275,0.0
36068,260012112,QUADRADO,25.0,34.0,479.46963134699996,55.96,0.0
36501,260012220,QUADRADO,25.0,34.0,556.161510461,43.601111111099996,0.0
36628,260012220,QUADRADO,25.0,34.0,226.020212601,44.99,1.0
36663,260012112,QUADRADO,25.0,34.0,892.314845063,55.96,0.0
37112,260012112,QUADRADO,25.0,34.0,122.405149094,51.975,0.0
37641,260012198,QUADRADO,29.0,38.0,146.751432085,47.99,0.0
37808,260011742,REDONDO,29.0,38.0,514.47810611,51.975,0.0
38198,260012112,QUADRADO,25.0,34.0,950.2136700789999,55.96,0.0
38384,260012112,QUADRADO,25.0,34.0,853.217426692,46.975,0.0
38594,260007152,REDONDO,25.0,34.0,905.8820623080001,37.99,0.0
38692,260007152,REDONDO,25.0,34.0,343.20729736,49.87,0.0
38717,260007152,REDONDO,25.0,34.0,957.766113172,39.59,0.0
38754,260007152,REDONDO,25.0,34.0,1.68190772295,49.87,0.0
38818,260012112,QUADRADO,25.0,34.0,363.488897796,55.96,0.0
39045,260012112,QUADRADO,25.0,34.0,744.389847165,55.96,0.0
39434,260012220,QUADRADO,25.0,34.0,480.33494389699996,43.4682608696,0.0
40077,260012112,QUADRADO,25.0,34.0,967.735262323,37.99,0.0
40356,260011742,REDONDO,29.0,38.0,549.437672099,46.99,0.0
40687,260012198,QUADRADO,29.0,38.0,823.269478425,47.99,1.0
40985,260011742,REDONDO,29.0,38.0,487.027554149,46.99,0.0
41192,260012220,QUADRADO,25.0,34.0,392.14951616699994,45.99,0.0
41271,260012220,QUADRADO,25.0,34.0,714.039023405,44.99,0.0
41417,260012198,QUADRADO,29.0,38.0,314.406327944,68.54,0.0
41872,260012198,QUADRADO,29.0,38.0,921.7845382039999,68.54,0.0
42186,260012220,QUADRADO,25.0,34.0,217.59096622299998,53.265,0.0
42213,260012112,QUADRADO,25.0,34.0,492.349679312,37.99,1.0
42372,260012112,QUADRADO,25.0,34.0,355.50971878,55.96,0.0
42913,260012220,QUADRADO,25.0,34.0,647.109426526,43.601111111099996,0.0
42968,260012112,QUADRADO,25.0,34.0,640.228394803,37.99,0.0
43008,260012198,QUADRADO,29.0,38.0,697.1305832689999,54.84,0.0
43032,260011742,REDONDO,29.0,38.0,697.761898703,47.615,0.0
43145,260012112,QUADRADO,25.0,34.0,848.723328528,37.99,0.0
44129,260007152,REDONDO,25.0,34.0,181.458680203,39.59,0.0
44336,260012112,QUADRADO,25.0,34.0,603.610654078,55.96,0.0
44440,260012112,QUADRADO,25.0,34.0,705.643074918,55.96,0.0
44463,260007152,REDONDO,25.0,34.0,675.6517320275,37.99,0.0
44825,260012112,QUADRADO,25.0,34.0,645.6603891369999,55.96,0.0
45043,260012220,QUADRADO,25.0,34.0,512.70534976,44.43444444439999,0.0
45319,260012112,QUADRADO,25.0,34.0,546.773735373,37.99,0.0
45723,260012198,QUADRADO,29.0,38.0,103.768088042,46.975,0.0
45893,260012112,QUADRADO,25.0,34.0,704.0881680580001,55.96,0.0
47085,260012112,QUADRADO,25.0,34.0,15.7856698845,55.96,0.0
47152,260007398,REDONDO,25.0,34.0,443.16865792199997,47.36,0.0
47204,260012220,QUADRADO,25.0,34.0,728.606612236,47.675,0.0
47262,260012198,QUADRADO,29.0,38.0,108.557243566,47.99,0.0
47355,260012220,QUADRADO,25.0,34.0,744.872157465,39.99,0.0
47405,260011742,REDONDO,29.0,38.0,480.23624146049997,47.615,0.0
47661,260012112,QUADRADO,25.0,34.0,215.60032545599998,37.99,0.0
47689,260012198,QUADRADO,29.0,38.0,964.142652095,47.99,0.0
47778,260007152,REDONDO,25.0,34.0,546.784851979,41.99,0.0
48401,260012198,QUADRADO,29.0,38.0,797.068705609,47.99,0.0
48528,260012198,QUADRADO,29.0,38.0,786.6401842280001,46.49,0.0
48554,260011742,REDONDO,29.0,38.0,48.4542833233,44.99,1.0
48599,260012112,QUADRADO,25.0,34.0,203.274117811,55.96,0.0
48600,260012112,QUADRADO,25.0,34.0,750.629684446,55.96,0.0
48658,260012198,QUADRADO,29.0,38.0,966.8523934030001,55.96,0.0
48697,260012112,QUADRADO,25.0,34.0,397.812999878,55.96,0.0
48841,260007152,REDONDO,25.0,34.0,173.853966227,37.99,0.0
49077,260007398,REDONDO,25.0,34.0,442.96740204300005,49.9,0.0
49124,260012112,QUADRADO,25.0,34.0,235.067877416,55.96,0.0
49872,260011742,REDONDO,29.0,38.0,510.44446119400004,46.975,0.0
50138,260012112,QUADRADO,25.0,34.0,171.92464111,37.99,0.0
50812,260012220,QUADRADO,25.0,34.0,824.755658063,43.4682608696,0.0
50998,260012198,QUADRADO,29.0,38.0,118.625672835,68.54,0.0
51422,260007152,REDONDO,25.0,34.0,244.370049986,37.99,0.0
51564,260012220,QUADRADO,25.0,34.0,305.686054853,39.99,0.0
51740,260011742,REDONDO,29.0,38.0,61.733856224700006,44.99,0.0
52250,260012198,QUADRADO,29.0,38.0,29.568746595100002,47.99,0.0
52472,260007152,REDONDO,25.0,34.0,377.56281649,37.99,0.0
52535,260012220,QUADRADO,25.0,34.0,526.916490078,41.49,0.0
52667,260012220,QUADRADO,25.0,34.0,330.301384778,44.99,0.0
52784,260012220,QUADRADO,25.0,34.0,275.94742912,45.5812820513,0.0
53434,260012112,QUADRADO,25.0,34.0,964.951809423,37.99,0.0
53549,260012112,QUADRADO,25.0,34.0,442.82988563099997,55.96,1.0
53896,260012112,QUADRADO,25.0,34.0,380.55783500300004,55.96,0.0
54012,260012198,QUADRADO,29.0,38.0,325.716174605,47.99,0.0
54078,260012112,QUADRADO,25.0,34.0,272.523539662,55.96,0.0
54472,260007152,REDONDO,25.0,34.0,324.617188166,49.87,1.0
54746,260012112,QUADRADO,25.0,34.0,810.098392282,55.96,0.0
54769,260007152,REDONDO,25.0,34.0,448.74167835599997,37.99,0.0
54979,260012198,QUADRADO,29.0,38.0,640.913878565,68.54,0.0
55340,260011742,REDONDO,29.0,38.0,33.1202130911,62.25,0.0
55379,260012112,QUADRADO,25.0,34.0,573.791800345,55.96,1.0
55435,260012112,QUADRADO,25.0,34.0,779.127062021,55.96,0.0
55438,260012220,QUADRADO,25.0,34.0,405.396261606,51.08,0.0
55542,260012220,QUADRADO,25.0,34.0,963.00107373,45.535,0.0
55567,260012220,QUADRADO,25.0,34.0,853.4977063680001,39.99,0.0
56008,260012220,QUADRADO,25.0,34.0,169.06063774700002,39.99,0.0
56181,260012220,QUADRADO,25.0,34.0,502.195152375,38.99,0.0
56563,260012112,QUADRADO,25.0,34.0,292.217083055,37.99,0.0
56648,260011742,REDONDO,29.0,38.0,834.9496420910001,47.99,1.0
56716,260012112,QUADRADO,25.0,34.0,207.393110994,55.96,0.0
56748,260011742,REDONDO,29.0,38.0,879.942539288,47.99,0.0
56804,260012198,QUADRADO,29.0,38.0,442.16267665,47.99,0.0
56963,260007152,REDONDO,25.0,34.0,312.560566049,37.99,0.0
57521,260007152,REDONDO,25.0,34.0,481.297460779,42.99,0.0
57636,260011742,REDONDO,29.0,38.0,956.8092415780001,47.99,0.0
57867,260007152,REDONDO,25.0,34.0,984.198806004,37.99,0.0
57983,260012198,QUADRADO,29.0,38.0,184.203229236,47.99,0.0
58125,260012220,QUADRADO,25.0,34.0,410.10039102400003,44.43444444439999,0.0
58157,260012198,QUADRADO,29.0,38.0,644.75093137,47.99,0.0
58445,260007152,REDONDO,25.0,34.0,352.65461054199994,37.99,0.0
58477,260012220,QUADRADO,25.0,34.0,270.919085991,47.445,0.0
59036,260012220,QUADRADO,25.0,34.0,162.20292427299998,44.43444444439999,0.0
59304,260012220,QUADRADO,25.0,34.0,372.243432593,47.5,0.0
59995,260012112,QUADRADO,25.0,34.0,770.3121217,55.96,0.0
60491,260012112,QUADRADO,25.0,34.0,94.7836270342,37.99,0.0
60917,260011742,REDONDO,29.0,38.0,266.87510250099996,47.99,0.0
61122,260007152,REDONDO,25.0,34.0,298.277227936,49.87,0.0
61374,260007152,REDONDO,25.0,34.0,833.371825515,37.99,0.0
61519,260007152,REDONDO,25.0,34.0,333.985713809,49.87,0.0
62199,260012112,QUADRADO,25.0,34.0,942.0894901139999,55.96,0.0
62271,260012220,QUADRADO,25.0,34.0,644.2376650580001,45.5812820513,0.0
62598,260012198,QUADRADO,29.0,38.0,484.250370616,47.99,0.0
62915,260012220,QUADRADO,25.0,34.0,229.782640049,43.601111111099996,0.0
63017,260012198,QUADRADO,29.0,38.0,722.0087226019999,47.99,0.0
63051,260012220,QUADRADO,25.0,34.0,80.819898719,44.99,0.0
63519,260012198,QUADRADO,29.0,38.0,403.492294688,47.99,0.0
63695,260012220,QUADRADO,25.0,34.0,177.57472057599998,44.99,0.0
64389,260012112,QUADRADO,25.0,34.0,673.616041194,37.99,0.0
64622,260007152,REDONDO,25.0,34.0,669.92072735,37.99,0.0
65195,260011742,REDONDO,29.0,38.0,620.786426934,47.99,0.0
65279,260012112,QUADRADO,25.0,34.0,157.92660089700001,37.99,0.0
65309,260012220,QUADRADO,25.0,34.0,323.049644886,39.99,0.0
65328,260007152,REDONDO,25.0,34.0,666.172223072,49.87,0.0
65428,260012112,QUADRADO,25.0,34.0,875.57955406,37.99,0.0
65814,260012112,QUADRADO,25.0,34.0,196.70648300099998,55.96,1.0
66018,260007398,REDONDO,25.0,34.0,993.8602836160001,46.975,0.0
66251,260007152,REDONDO,25.0,34.0,347.209224451,37.99,1.0
66318,260012198,QUADRADO,29.0,38.0,115.209822411,47.99,0.0
66576,260012198,QUADRADO,29.0,38.0,756.297909191,47.99,0.0
66750,260012112,QUADRADO,25.0,34.0,562.043269195,55.96,0.0
67002,260007152,REDONDO,25.0,34.0,763.412311009,49.87,0.0
67028,260012220,QUADRADO,25.0,34.0,913.817393512,44.99,0.0
67367,260012220,QUADRADO,25.0,34.0,30.2268472271,44.43444444439999,0.0
68539,260012198,QUADRADO,29.0,38.0,563.8752105240001,41.2122222222,0.0
68769,260007152,REDONDO,25.0,34.0,142.503678098,37.99,0.0
69029,260007152,REDONDO,25.0,34.0,376.48890603300003,41.99,0.0
69307,260012220,QUADRADO,25.0,34.0,62.025149695699994,44.8275,0.0
69510,260012112,QUADRADO,25.0,34.0,972.760076203,37.99,0.0
69522,260007398,REDONDO,25.0,34.0,977.26440088,39.99,0.0
69980,260012220,QUADRADO,25.0,34.0,918.600607803,44.99,1.0
70436,260012198,QUADRADO,29.0,38.0,986.375715678,47.99,1.0
70533,260007152,REDONDO,25.0,34.0,17.1705706191,49.87,0.0
70766,260007152,REDONDO,25.0,34.0,73.7351357241,49.87,0.0
70880,260012220,QUADRADO,25.0,34.0,130.263481713,44.99,0.0
70932,260012112,QUADRADO,25.0,34.0,989.2451672510001,37.99,0.0
70938,260012220,QUADRADO,25.0,34.0,129.883108548,41.49,0.0
71089,260012220,QUADRADO,25.0,34.0,16.753529621800002,44.99,0.0
71090,260007152,REDONDO,25.0,34.0,194.993781408,41.49,0.0
71321,260012112,QUADRADO,25.0,34.0,658.511567744,37.99,0.0
71555,260012112,QUADRADO,25.0,34.0,881.37173397,55.96,0.0
71906,260012112,QUADRADO,25.0,34.0,79.1559743251,55.96,0.0
72948,260012112,QUADRADO,25.0,34.0,884.619242592,55.96,0.0
73208,260012112,QUADRADO,25.0,34.0,195.196543815,55.96,0.0
73314,260012112,QUADRADO,25.0,34.0,693.085042678,37.99,0.0
73334,260012220,QUADRADO,25.0,34.0,205.82317979,44.99,0.0
73505,260012112,QUADRADO,25.0,34.0,459.392524325,55.96,0.0
73679,260011742,REDONDO,29.0,38.0,837.786712391,55.96,0.0
73801,260012112,QUADRADO,25.0,34.0,896.211917194,55.96,0.0
74664,260012220,QUADRADO,25.0,34.0,448.74167835599997,51.08,0.0
74999,260012198,QUADRADO,29.0,38.0,390.19453245,68.54,0.0
75093,260011742,REDONDO,29.0,38.0,682.656766479,47.99,0.0
75131,260011742,REDONDO,29.0,38.0,830.6843033289999,46.99,0.0
75142,260011742,REDONDO,29.0,38.0,235.55328392599998,44.99,0.0
75193,260012220,QUADRADO,25.0,34.0,92.57444817540001,50.475,0.0
75296,260012112,QUADRADO,25.0,34.0,301.978843376,55.96,0.0
75727,260012112,QUADRADO,25.0,34.0,184.732644263,55.96,0.0
76299,260012220,QUADRADO,25.0,34.0,425.36809756699995,47.975,0.0
76419,260012220,QUADRADO,25.0,34.0,908.9785857810001,39.99,0.0
76646,260007152,REDONDO,25.0,34.0,115.516014586,42.49,0.0
76934,260012220,QUADRADO,25.0,34.0,697.1305832689999,44.99,0.0
77118,260012220,QUADRADO,25.0,34.0,828.310451132,47.5,0.0
77826,260011742,REDONDO,29.0,38.0,860.827936708,44.99,0.0
78008,260011742,REDONDO,29.0,38.0,318.72839729099996,47.99,0.0
78106,260007398,REDONDO,25.0,34.0,222.92951404299998,47.36,0.0
78209,260007152,REDONDO,25.0,34.0,287.37231949700003,46.420277777775,0.0
78388,260007152,REDONDO,25.0,34.0,841.9855722689999,45.48055555555,0.0
78402,260012198,QUADRADO,29.0,38.0,221.377336663,44.540833333325,0.0
78403,260012220,QUADRADO,25.0,34.0,607.3503692830001,43.601111111099996,0.0
78914,260012112,QUADRADO,25.0,34.0,208.66498709099997,55.96,0.0
79290,260007152,REDONDO,25.0,34.0,30.4825789634,49.87,0.0
79316,260012220,QUADRADO,25.0,34.0,772.1464413289999,39.99,0.0
79324,260012112,QUADRADO,25.0,34.0,176.05756399,55.96,0.0
79478,260012198,QUADRADO,29.0,38.0,615.620026433,47.99,0.0
79575,260012112,QUADRADO,25.0,34.0,45.582477993699996,55.96,0.0
80167,260012220,QUADRADO,25.0,34.0,815.2651150739999,44.99,0.0
80194,260012112,QUADRADO,25.0,34.0,807.416886548,37.99,0.0
80602,260011742,REDONDO,29.0,38.0,765.5354209569999,47.615,0.0
81319,260012112,QUADRADO,25.0,34.0,634.786755074,55.96,0.0
81555,260012112,QUADRADO,25.0,34.0,494.32491516199997,55.96,0.0
82109,260012198,QUADRADO,29.0,38.0,673.546390684,68.54,0.0
82426,260012198,QUADRADO,29.0,38.0,767.3447020469999,68.54,0.0
82527,260012112,QUADRADO,25.0,34.0,989.2451672510001,37.99,0.0
82584,260012112,QUADRADO,25.0,34.0,756.357166136,55.96,0.0
83334,260012198,QUADRADO,29.0,38.0,907.355645478,47.99,0.0
83733,260012198,QUADRADO,29.0,38.0,202.85905411099998,68.54,0.0
83782,260012198,QUADRADO,29.0,38.0,89.3378719551,47.99,0.0
84219,260007152,REDONDO,25.0,34.0,223.69659673900003,37.99,0.0
84340,260007152,REDONDO,25.0,34.0,14.9413176271,37.99,0.0
84377,260012112,QUADRADO,25.0,34.0,146.2047454,55.96,0.0
84458,260007398,REDONDO,25.0,34.0,780.961143603,47.36,0.0
84632,260012112,QUADRADO,25.0,34.0,857.8395873145,37.99,0.0
84742,260012220,QUADRADO,25.0,34.0,934.7180310260001,44.99,0.0
85019,260007152,REDONDO,25.0,34.0,999.2317529210001,50.475,0.0
85059,260012112,QUADRADO,25.0,34.0,408.42436371199994,55.96,0.0
85111,260012220,QUADRADO,25.0,34.0,199.56277873,43.4682608696,0.0
85113,260012112,QUADRADO,25.0,34.0,293.527339036,55.96,0.0
85292,260012220,QUADRADO,25.0,34.0,295.88172323099997,44.99,0.0
85569,260007152,REDONDO,25.0,34.0,588.669746252,37.99,0.0
86436,260012198,QUADRADO,29.0,38.0,996.321364376,47.99,0.0
86858,260012198,QUADRADO,29.0,38.0,275.319686792,47.99,0.0
87539,260012198,QUADRADO,29.0,38.0,999.9522904439999,42.99,0.0
87540,260007152,REDONDO,25.0,34.0,193.96701372099997,37.99,0.0
87895,260011742,REDONDO,29.0,38.0,409.33695425400003,42.99,0.0
88347,260012198,QUADRADO,29.0,38.0,188.560575325,47.99,0.0
88518,260011742,REDONDO,29.0,38.0,951.937405217,42.99,0.0
88720,260007152,REDONDO,25.0,34.0,122.30303164899999,37.99,0.0
89164,260012220,QUADRADO,25.0,34.0,195.719315511,38.99,0.0
89222,260012220,QUADRADO,25.0,34.0,503.44063641699995,39.99,0.0
89304,260012198,QUADRADO,29.0,38.0,476.238223119,47.99,0.0
89674,260012220,QUADRADO,25.0,34.0,714.202928206,44.99,0.0
89680,260012220,QUADRADO,25.0,34.0,359.43294543699994,39.99,0.0
89830,260012198,QUADRADO,29.0,38.0,561.379954138,47.99,0.0
90177,260007152,REDONDO,25.0,34.0,829.6630715169999,37.99,0.0
90750,260011742,REDONDO,29.0,38.0,539.778965758,47.99,0.0
90813,260012112,QUADRADO,25.0,34.0,400.738123815,55.96,0.0
91203,260012220,QUADRADO,25.0,34.0,448.41869571800004,44.99,0.0
91235,260012198,QUADRADO,29.0,38.0,685.09281743,47.99,0.0
91582,260012112,QUADRADO,25.0,34.0,788.190094463,55.96,0.0
91633,260007152,REDONDO,25.0,34.0,193.16035241900002,37.99,0.0
